doc_id,hgv_id,tm_id,ddb_hybrid,filename,title,summary,date_text,date_year_approx,provenance,language,genre,transcription_text,translation_text,has_translation
wisconsin.apis.5351,32545,32545,p.wisc;2;47,wisconsin.apis.5351,List of animals,"It is not clear to what purpose this list was compiled. It has been written by six different hands (all of well-trained scribes). For different days of two different months the donkeys and camels which entered a certain metropolis were noted. A possible explanation could be that this was done in connection with the taxes or custom duties to be levied, or in connection with the food supply of the metropolis.",IVth century A.D.,349.0,Unknown,grc,Documentary; Papyrus,,"Survey list of the animals in the metropolis in the 7th new indiction. Payni 6: 1 donkey; 16: 2 donkeys. 19: through the donkey-drivers 2 donkeys; 22: through the donkey drivers 3 donkeys; 23: through the donkey drivers 3 donkeys; 28: through the donkey-drivers of the metropolis 1 donkey. The transport charges for them have been paid in full. ;(2nd hand) Epeiph 2: 3 donkeys and 1 camel, 2 sacks; 5: 1 donkey and 2 camels. (3rd H.) 4 sacks; Epeiph 7:through the donkey-drivers 5 donkeys and animals from the village: 5 donkeys. (4th hand) 19: through the donkey-drivers 4 donkeys and animals from the village: 3 donkeys (5th hand) 21: 2 camels, 4 sacks. (6th hand) 22: through the donkey-drivers of the metropolis 6 donkeys and of the village 2 donkeys; 28: through the donkey-drivers of the metropolis 4 donkeys.",True
wisconsin.apis.5352,15893,15893,p.wisc;2;48,wisconsin.apis.5352,Report of proceedings (?),"At least one column must have preceded this papyrus in view of the fact that the papyrus is complete at the top while we are already in mediis rebus when our text starts. It is not to be excluded that one (or more) columns followed the present one. The great number of alterations and interlinear words suggest that we are dealing with a draft or a corrected version of a document. It is not possible to arrive at a full understanding of the case. A certain person has been maltreated by certain soldiers (line 38) who attacked him (line 7), threw him into the jail (lines 11 and 13) and were seeking his daeth (line 12). The plaintiff has apllied several times to the praefect. At least four answers to his requests are cited (lines 18, 24, 31 and 39). The papyrus seems to be the report of a proceeding before an official.",IInd century A.D.,149.0,Unknown,grc,Documentary; Papyrus,,[The text is too fragmentary to be translated],True
wisconsin.apis.5358,26683,26683,p.wisc;2;49,wisconsin.apis.5358,Petition (?),"Parts of two column of a petition (?) concerning a vineyard have been preserved. It is unknown how many letters have been lost at the left- and right-hand sides. The original document was cut in the antiquity to receive another document (P.Wisc. II 85) at the other side. ;The remaining words do not enable us to reconstruct the situation. It is clear, however, that the text is concerned with a vineyard (and the irrigation and the yield of same?). the numerous deletions and interlinear additions suggest that we are dealing with a draft. The Wisconsin part of this papyrus contains lines 1-17 and lines 33-56.",(late) IInd/(early) IIIrd century A.D.,200.0,Oxyrhynchite nome (?),grc,Documentary; Papyrus,,[too fragmentary to be translated],True
wisconsin.apis.5359,15894,15894,p.wisc;2;50,wisconsin.apis.5359,Different documents written in Latin,"Various documents, written in Latin by one and the same person, who was clearly a skilled scribe. The nature of the entries can be established in a few cases. Lines 1-3 refer to a manumissio; lines 10-15 deal with the testatio of an illegitimate child; in lines 20-22 mention is made of a marriage; lines 23-32 (or lines 27-32) could be dealing with a credio (acceptance of an inheritance), while lines 33-41 semm again to be concerned with a manumissio.;We seem to be dealing with a collection of diverse documents. They may have been put together on purpose, e.g. to serve as evidence in connection with a law-suit; it is even possible that they all bear upon the same person(s). The other possibility is that they were written on an empty piece of papyrus as some kind of exercise. It is unlikely that it is a text sui iuris in view of the diversity of the recognizable documents and the absence of an addressee (this person may have been mentioned in the part lost at the left-hand side, though).;The assumption that a scribe used an empty piece of papyrus to practise certain formulae is based on:;1. the fact that the text written on the recto is probably a draft;;2. the number of corrections in the text (particularly lines 11 and 14, which are interlinear in actual fact;3. the diversity of the texts;4. the arrangement of the different texts on the papyrus;5. the appearance of the Greek words between lines 8 and 10.",165 A.D.,,Unknown,la,Documentary; Papyrus,,[too fragmentary to be translated],True
wisconsin.apis.5360,15895,15895,p.wisc;2;51,wisconsin.apis.5360,Lease of oxen,Only the end of a lease of oxen has been preserved.,"October 29 - November 27, 10 B.C.",,Arsinoite nome (because of SB X 10573),grc,Documentary; Papyrus,,"The lease is valid. Year 21 of Caesar, Ha[thyr x];(2nd hand) Arignotos son of Seroueilios [ ] the oxen, as above. Year 21 of Caesar, Hathyr [x]",True
wisconsin.apis.5361,13717,13717,p.wisc;2;52,wisconsin.apis.5361,Lease of land,"A lease fo land from Karanis. Euphranis has leased  to someone, whose name is lost, a parcel of land for three years.","October 4, 32 A.D.",,"Karanis, Herakleidou meris, Arsinoite nome, Egypt",grc,Documentary; Papyrus,,"Year nineteen of Tiberius Caesar Augustus, the 7th of Phaophi in Karanis in the division of Herakleides of the Arsinoite nome. Euphranis, son of NN, about thirty-two years old of age, without a scar, manager of the lands of his --- mother Thermoutharion, daughter of Dionysios, has leased to NN, son of NN, about thirty-eight years of age, with a scar in his left thumb, a Persian of the epigoneof the corn lands of Thermoutharion in the vicinity of Karanis the x arouras in one parcel of the eight arouras (?) of the kleros of Psenamounis, son of Herieus, --- for three years from the present nineteenth year of Tiberius Caesar, the rent is entirely, including the one artaba per aroura which the lessee will receive as seed, yearly forty artabas of wheat with the six-choinix measure of the broker of Karanis and as a gratuity one half artaba of bread annually free from every risk and every deduction. It will not be permissible for the lessee to give up the lease within the fixed time but he will perform each year (at the right time?) all the work, viz the maintainance of the irrigation channels and dykes of the arouras and the breaking up and the weeding and all the other agricultural tasks, (and will cause no damage?). The lease has immediately received from Euphranis the third part of the arouras sown with a fitting light crop ---. The lessee has paid the rent (?) for the first year --- the same lessee must pay the remaining rent yearly in the month of Payni ---. At the expiration of the period he will surrender the arouras free from rushes, reeds, coarse grass, and all the dirt and the third part sown with a light crop ----",True
wisconsin.apis.5362,15896,15896,p.wisc;2;53,wisconsin.apis.5362,Receipt of money,The papyrus records a part-payment of a debt. The parties concerned are soldiers.,"October 13, 55 A.D.",,"Koptos, Upper Egypt",grc,Documentary; Papyrus,,"Markos Asklepios cavarly man in the ala of the Vocontii, squadrom of Longinus to NN greetings. I acknowledge having received from you of the five hundred silver drachmas, which you owe Apros in accordance with a title-deed, which I hold, as part-payment two hundred and forty silver drachmas, total 240 dr. In the praesidium of Koptos. Year 2 of Nero Claudius Caesar Augustus Germanicus Imperator, Phaophi 15.",True
wisconsin.apis.5363,13718,13718,p.wisc;2;54,wisconsin.apis.5363,Declaration to the property-register office,"The papyrus is a declaration, written on June 3, A.D. 116 and registered on June 27. It is direceted to the keepers of the ""bibliotheke egkteseon"" (property-register office) of the Arsinoite nome, to the efefct that Isarous has given her slave Sarapias to another woman, whose name has been lost (line 130, as a security for a loan of 456 drachmas which she has received from this woman. The papyrus has been crossed out (invalidated), thus making the document null and void. We may assume that Isarous only bregistered her slave because she had to give her as a security for a loan.","June27, 116 A.D.",,"Arsinoe, capital of the Arsinoite nome, Egypt",grc,Documentary; Papyrus,,"Signed by me, NN, 19th year of Traianus Optimus Caesar the lord, the 3rd of Epeiph. (2nd hand) ToThrakidas and Herakleides, also called Demetrios, ex-gymnasiarchs, keepers of the property-registers of the Arsinoite nome, from Isarous, daughter of Apollonios, granddaugher of Eudaimon, my mother being Akousous alias Tamysthe, daughter of Asklepiades, registered in teh quarter of the Bithynians and Neighboorhood with as guardian Eudaimon, my brother on both father's and mother's side. I want voluntarily and on my own free will to mortgage my slave Sarapias, wo I Have registered to-day through you, to NN, daughter of Souchion, also called Eumelos, for the capital sum of fourhundred and fifty-six silver drachmas and the interest which I owe her in accordance with a title-deed and I do not want you to cooperate with me in anything whatsoever until I bring forward the receipts of the payment of everything. (3rd hand) I, Isarous, daughter of Apollonios, with as gurdain my brother Eudaimon, son of Apollonios, have presented this voluntary memorandum of mortgage of my slave Sarapias for the capital sum of fourhundred and fifty isx silver drachmas and the interest as stated above. I, Eudaimon, have written the larger part. Year 19 of Imperator Caesar Nerva Traianus Optimus Augustus Germanicus Dacicus Parthicus, the 9th of Payni. (4th hand) I, Isarous, daughter of Apollonios, have presented the mortgage as stated above.",True
wisconsin.apis.5364,26684,26684,p.wisc;2;55,wisconsin.apis.5364,Instruction to send documents,It is interesting that the these instuctions in a form a brief note have no name of the sender or the receiver (NL),IInd century A.D.,149.0,Unknown,grc,Documentary; Papyrus,,"Where are the documents (or plans?) of the epoikion? Send them immediately through Euchaites who can renedr an account, but anyhow (send them) today, because the surveyors have arrived here",True
wisconsin.apis.5377,26917,26917,p.wisc;1;1,wisconsin.apis.5377,Judicial proceedings,"The issue at stake here is the repayment of a loan together with the amount due in interest. Petheus appears to own an olive-yard and a piece of marshland. With this property as security (?) he seems to have borrowed a sum of money from Limnaios, who might have been in partnership with Papnuthios mentioned by name in line I2. The rhetor denies that he borrowed money in connection with his piece of marshland; he says nothing about the olive-yard. Limnaios now states that manager of Petheus's olive-yard received a certain amount of money from Papnuthios in connection with the olive-yard on a certain day in the month of Payni, in the thirteenth year of an unknown emperor; he does not refer to the piece of marshland either. Rhetorically he exclaims whether failure to repay a loan within the time agreed implies that no money was borrowed. Petheus replies that his opponent did receive something in connection with the olive-yard. Limnaios says or asks something about the interest. Then, after Petheus��� incomprehensible reply, the plaintiff apparently asks whether it would not be simplest for Petheus to repay the principal sum borrowed as well as the interest, as he obtained the money by fraudulent means. At this point Petheus seems to make a mistake by saying that he has already paid interest several times and that he refuses to pay double. The strategus immediately asks how it is possible that, although he has paid interest, he denies having borrowed anything. Then Petheus makes a remark about the payment of interest and the strategus asks whether Petheus can show receipts, which however, he is not able to do. The rhetor asks to show something, whereupon Petheus replies that he has already done so. The opponent seems to admit that a certain part of the interest has indeed been received. Petheus and his party (probably in the person of the rhetor) dispute the possibility that their opponent has received interest only once for the period of four years, because the contract was not concluded for a year at a time, but for the whole period of four years. Then, suddenly, Petheus appears to ask fro an extension of payment. It is not clear why, or by reason of what judgment or motive Petheus, who makes the impression that he is attempting everything to bring the case, in which he is clearly in the wrong, to a favorable conclusion, suddenly turns round and gives in. Limnaios reveals that Petheus still has other possessions left and consequently should not be granted extension of payment. Finally the strategus decides that, should this be true, Limnaios will be entitled to remove everything (probably the harvest as well as the implements.",(Early) IInd century A.D.,125.0,"Herakleopolites (?), province of Egypt",grc,Documentary; Papyrus,,,False
