record_id,other_nos,description,classification,keywords,provenance,publication,dates_mentioned,dates_attributed,contents,terminology,names_titles,remarks,doc_type,be_loss_framing,be_gain_framing,be_reference_point,be_complaint_petition,be_certainty_claim,be_forecast_claim,be_failed_prediction,be_interest_rate,be_loan_credit,be_deferred_payment,be_fairness_claim,be_reciprocity,be_price_mention,be_commodity_grain,be_commodity_money,be_labor_absence,be_wage_payment,be_risk_mention,be_contract_formal,be_tax_tribute,be_loss_aversion_signal,be_overconfidence_signal,be_calibration_signal,be_economic_core
O. Ashmolean Museum 0167,O. Gardiner 0167,"Limestone, 10.5 x 18.5 cms, in two fragments. Two sides; obverse: eight lines; reverse: nine lines. Black ink. Damaged; part of top broken away and ink rubbed off at many separate spots near the edges and along the axis of the ostracon. Top obverse = top reverse.",journal : absence - duty - labour,illness - inactivity - menstruation - Valley of Kings - working,No indication,"Kitchen, Ramesside Inscriptions VII, 242-243 (transcription); Helck, Die datierten und datierbaren Ostraka , 110 (outline of content)","III Smw sw 14-18 (obv. ~ 1 # , ~ 2 # , 3, 4, 4); III Smw sw 20-26 (obv. 6, 6, 7, 7, rev. ~ 1 # , [2], 3); (III Smw ) sw 28 (rev. 4); IV Smw sw 3-7 (rev. 5, 5, 6, 7, 7); see Remarks","Dyn. 19, Amenmesse ( Kitchen ); year 3 Amenmesse (?) (Helck)",Journal mostly listing absences from work due to illness.,"iw r pA bAk (rev. 7); iw r 4x.t (obv. ~ 5 # , rev. 4, 5); NN wrS (obv. 4); wsf (obv. 2, 3, 3, 6, 6, rev. 2); mr (obv. 1, 2, 3, 4, 5, 6, 7, 7, 7, ~ 8 # (?), rev. 1, 2, 2, 3, 3, ~ 3 # , 4, 4, 4, ~ 5 # , 5, 6, 6, 6, 7, 8, 8, 9)","an. ( tAy=f Hm.t ; obv. ~ 8 # ); Nb-nfr sA Pn-nbw (obv. 1-2, 2-3, 3, 4, 5, rev. 2, ~ 3 # , 8- ~ 9 # ); Nb-nxt sA Nxt-Mnw (obv. ~ 5-6 # ); Nfr-Htp ( aA n is.t ; rev. 5); 1r-nfr (rev. 3, 4, 5); 2a-m-sbA.w (rev. 2, 3, 4, ~ 5 # , 6, ~ 6 # -7); 4x.t (geo.; obv. 5, rev. 4, 5 ); On-Hr-xpS=f ( sS ; obv. [1], ~ 2 # , 3, 4, ~ 4 # -5, 6, ~ 6 # , 7, 7, rev. 3, 4, 5, 5-6, 6, ~ 7 # , 7-8, 8)","Dates mentioned: although the month of III Smw is not mentioned in all lines of obverse, the scribe did repeat III Smw in reverse line 1, suggesting that all dates on the obverse this ostracon also refer to this month.",ostracon,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
O. Ashmolean Museum 0168,O. Gardiner 0168,"Limestone, 12 x 19 cms. Two sides; obverse: seven lines; reverse: remains of about five illegible lines. Black ink. Damaged on all sides except possibly the bottom of obverse. Ink rubbed off at several spots, espec. in l. 1 and 7 of obverse. Top obverse = top reverse.",account : delivery - payment - transfer,basketry - dung - grass - leather - mat - payment - pig - straw - water - mt (?),No indication,"Unpublished; Černý Notebook 45.72 (description, transcription)",-,-,Account of water given out and transfer of many other commodities.,"iw (obv. ~ 1 # (?)); wp sn (obv. 4); wHm (obv. 2, 3, 3, 3, 3, 3, ~ 3 # , ~ 3 # , 5, 7, 7); nA n mw rdy r bnr [...] (obv. ~ 1 # ); r DbA ... (obv. 7); rdi.n=i n=f (obv. ~ 5 # (?), 6); rdi.n=f n=i (obv. 2, 3, 5); rdy.t n=f (obv. 2)",an. ( tAy=f Hm.t ; obv. 6); Pnbwy (obv. 2),-,ostracon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O. Ashmolean Museum 0169,O. Gardiner 0169,"Red pottery, 13 x 13 cms, in two fragments. One side with six lines in black ink. Complete, but ink has gone in the second half of lines 4-5, line 6 having vanished completely. In line 2 some groups were crossed out by the scribe.",account : delivery - name,water,No indication,"Unpublished; Černý Notebook 45.73 (description, transcription)",-,-,Account naming men for whom water is (to be (?)) delivered.,nty fA mw n NN ( ~ 1 # ); dmD (4),an. ( pA in-mw ; ~ 5 # (?)); an. ( pA aA n is.t ; 1); an. ( pA sS ; 1); Imn-nxt (3); In-Hr-xa (2); Pry-pA-TAw sA 4tX-ms ( ~ 5 # ); OnnA (2; see Remarks); 6A-Xr-rd.wy=f (3; see Remarks),"Names, Titles: (2) or OnnA sA In-Hr-xa ; (3) or 6A-Xr-rd.wy=f sA Imn-nxt.",ostracon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O. Ashmolean Museum 0170,O. Gardiner 0170,"Pottery, 18.5 x 11.5 cms. One side with the remains of ten lines in black ink. Damaged; the right edge has broken away, causing loss of writing. Correction by the scribe in line 4 and above it, and line 5; some signs were erased above line 10.",account : delivery - payment (?) - transfer,beer (?) - cakes - firewood - grain - grass - oil - payment (?) - pig - straw - vegetables - wood - anx,No indication,"Unpublished; Černý Notebook 45.74 (description, transcription)",-,-,"Account of items delivered or paid, in connection with a physician of the Necropolis.","iw m Dr.t=f (6); ir n (above 4, 5, 6); wHm (7); rdy.n=f n=i ( ~ 2 # , 4)",an. ( pA swn.w n pA 2r ; ~ 1 # ); see Remarks,"Names, Titles: the reading swn.w in line 1 was regarded as probable by Černý; whether the beginning of the line should be read as snsn , sn.wy or as a personal name 4n.wy .",ostracon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O. Ashmolean Museum 0171,O. Gardiner 0171,"Limestone, 29 x 17 cms. Two sides; obverse: thirteen lines; reverse: four lines. Black ink on obverse, red ink on reverse. Above rev. 4 some signs were erased by the scribe. Damaged. In the upper part of obverse the endings of the lines have fallen away. The whole of obv. 1 is lost except for some traces.",account : labour - payment - transfer,copper - door - payment - textile (?) - weaving - wood - woodwork - work,No indication,"Kitchen, Ramesside Inscriptions VII, 332-333 (transcription)",rnp.t-sp 2 (obv. ~ 1 # (?)),"Dyn. 20, year 2 Ramesses IV (?) ( Kitchen ); see Remarks.","Account of commodities manufactured by the workman Imn-PA-1apy , i.a. for the priest Imn-Htp , with payments and balance.","ir n (obv. ~ 4 # , 7, 7, 8, 8, 9, 11); wHm (obv. 7); mn r=f r dbn ? (obv. 10); nty n NN (obv. 12); nty n=f (obv. 11); r di.t rx=tw [...] ir.n NN n NN (obv. ~ 2-4 # ); hrw pn (obv. [1]-2); dmD (rev. 3, 4)",Imn-PA-1apy ( rmT-is.t ; obv. ~ 3 # ); Imn-Htp ( wab ; obv. ~ 4 # ); Imn-Htp ( sS ; obv. ~ 12 # ); 5ri.t-Ra (f.; obv. ~ 5 # ); Ony-Mnw (obv. ~ 5 # (?)),"Date attributed: Janssen, Commodity Prices , 57: mid. dyn. 20.",ostracon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
O. Ashmolean Museum 0173,O. Gardiner 0173,"Yellow-brown pottery, 6 x 9.5 cms, in two fragments. One side with four lines in black ink, but there may have been more lines. Damaged; left and bottom edges broken away, causing loss of writing.",account : payment,grain - payment - sandals - wood,No indication,"Kitchen, Ramesside Inscriptions VII, 283 (transcription); Helck, Die datierten und datierbaren Ostraka , 227 (translation)",rnp.t-sp 10 (1),"Dyn. 20, year 10 Ramesses III ( Kitchen, Helck )",Payment to Any-nxt in year 10.,rdy.t n NN m rnp.t-sp ? (1),Any-nxt (1),,ostracon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O. Ashmolean Museum 0174,O. Gardiner 0174,"Limestone, 8.5 x 13.5 cms. Two sides; obverse: remains of four lines; reverse: remains of two lines. Black ink. Damaged; top and right edges are gone. Top obverse = top reverse.",journal : absence - name,fat - illness,No indication,"Helck, Die datierten und datierbaren Ostraka , 115 (outline of content) ; see Remarks","sw 24-28 ( ~ 1 # , [2], ~ 2-3 # , 3, ~ 4 # )","Dyn. 19, year 3 Amenmesse ( Helck )","Journal recording illness of two workmen, i.a. through scorpion bite. Reverse mentions some fat.","mr (1, 1, 2, 2, 3, 3, 3, 4)","1y ( ~ 1 # , ~ 2 # , ~ 3 # , 3, 4); 2a-m-sbA.w ( ~ 1 # , ~ 1 # or ~ 1 # -[2] (?), 2, 3, 3, 4)","Publication: see also Černý Notebook 45.77 (description, transcription) .",ostracon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O. Ashmolean Museum 0176,O. Gardiner 0176,"Limestone, 12.5 x 11.5 cms. One side with five lines in black ink. Damaged; broken at bottom. The text appears to be rubbed off at the beginning of lines 1 and 5 and the endings of 2, 3 and 5.",account : delivery - transfer,tools,No indication,"Unpublished; Černý Notebook 45.79 (description, transcription)",I pr.t sw 20 (1); I pr.t sw 30 ( ~ 2 # ); II pr.t sw 10 (3); II pr.t sw 20 ( ~ 3 # ); II pr.t sw 30 (4); III pr.t sw 10 (5),-,Account of spikes given to the coppersmith and returned amount of repaired (?) spikes.,"iw (2, 3, 4, 5); m hrw pn (4); rdy.t n=f (3, ~ 4 # , 4-[5], ~ 5 # ); rdy.t n NN (1-2) ; dmD (5)",an. ( pA Hmt.y ; 2),According to Černý Notebook 45.79 this is not a part of O. Ashmolean Museum 0180.,ostracon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O. Ashmolean Museum 0177,O. Gardiner 0177,"Yellow pottery, 9 x 7.5 cms. Two sides; obverse: nine lines; reverse: remains of ten lines. Text on obverse is perpendicular to text on reverse. Damaged; left and bottom edges have broken away. The text on reverse is much rubbed off, leaving just traces at most spots.",letter,illness - message - oath - seed - vegetables - Htp,No indication,"Kitchen, Ramesside Inscriptions VII, 305 (transcription); McDowell, Village Life in Ancient Egypt , 56 no. 28 (translation of obverse 1-7)",-,"Dyn. 20, Ramesses III (Kitchen)",Letter from aA-mk.t to a lady about a message asking for medicin which had gone astray.,"wAH PtH wAH 9Hwty (obv. 6; see Remarks); hAb (obv. 2, 4)",aA-mk.t (obv. 1); PtH (deity; obv. 6) ; 9Hwty (deity; obv. 6),"Terminology: this oath also used in another letter by the same person, O. DeM 0446.",ostracon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O. Ashmolean Museum 0178,O. Gardiner 0178,"Limestone, 20 x 7.5 cms. Two sides; obverse: two columns of eighteen lines and the remains of ten lines; reverse: thirteen lines. Red ink. Damaged; broken at left and bottom edges. Top obverse = bottom reverse. Correction by the scribe in obv. 3 and rev. 13.",account : expense - portion (?),basketry - bread - cakes - gang - metalwork - vegetables - vessel - woodwork - TAy (?),No indication,"Unpublished; Černý Notebook 45.81 (description, transcription)",-,"Dyn. 20, Ramesses IV ?; see Remarks",Account of commodities in connection with men; see Remarks,"n NN (rev. 2); hAw (obv. I 3, 8)",Imn-wa (obv. I 16); Imn-nxt ( idn.w (?); obv. I 11); Nb-nfr (obv. I 14); Nxw-m-Mw.t ( aA n is.t ; obv. I 1); 2nsw ( idn.w ; obv. I 6); Incomplete: Imn-[...] (obv. I 18); Mr-sw- ~ ... # (rev. I 2); 1r-[...] (obv. II 6),"Date attributed: the mention of the foreman Nxw-m-Mw.t would place this ostracon somewhere in or around the reign of Ramesses IV. Contents: According to Janssen, Village Varia , 56 n. 4, this text is to be classed with gift-giving.",ostracon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
