cdli_id,publication,authors,excavation_no,genre,language,period,translation_status,has_atf,atf_line_count,has_translation,transliteration_text,translation_text
P360976,"AAA 1/3, 02","Pinches, Theophilus G.",,Letter,Akkadian,Old Assyrian (ca. 1950-1850 BC),no translation,True,21,False,"a-na szu-a-nim | qi2-bi2-ma um-ma | szi2-la-ma-si2-ma | 1(disz) _sila3_ re-esz-tam2 | u2 lu-bu-sza-am | sza s,u2-uh2-ri-im | sze2-bu-ul-ta-ka3 | nu-nu-a ub-la-kum | hu#-szi2-kam x x | u3 1(u) 3(disz) x | x x-kum | na-ni-a | na-asz2-a-ku-um | 2/3(disz) _gin2?_ | na-ni-a | na-asz2-a-ku-um | a-hi a-ta | di2-szu-ma | _ku3-babbar_-pi2-szu | _ki_ pa2-ni-am!-ma | sze2-bi4-lam-ma",
P360977,"AAA 1/3, 03","Pinches, Theophilus G.",,,,Old Assyrian (ca. 1950-1850 BC),no translation,True,28,False,". x-[...] | . u2-sze2-bi-[...] | . ni-isz-ta-me x-[...] | . a-na me-er-e / ni-[...] | . na-asz2-pa2-ar-ti2 / x-[...] | . ta-asz2-me-a a-ma / x-[...] | . szu-ma szi2-mu-um szi2-[...] | . i-ba-szi2 ta e 1(disz) _tug2 [x]_ | . ta-di2-in 1(u) _gu2 uruda#_ | . ma-si2-am a-na a-szur#-[...] | . szi2-ip-ri-szu-nu / di2-na [...] | . lu-bi-il5 um-ma me-er-u2 | . i3-li2-a-ma / ra-x-szu | . x-lu-ni il5-qe2-a-ni na#-[...] | x-um-szu 2(u) 6(disz) _ma-na_ 1(u) _gin2#_ | _ku3-babbar_ ha-bu-ul-ni-a-ti2-ma# | _ku3-babbar_ qa2-du-um s,i2-ib-ti2#-[szu] | im-i-id-ma isz-tu3 [...] | _iti-kam_ ab2-sza-ra-ni-[x] | li-mi3-im i-di2-na-hi-[im] | a-wa-su2 a-na 1(u) _gu2 uruda saga#?_ | ni-ig-mur-ma _sza3-ba_ 1(asz) _gu2#_ | sza isz-tu3 tur4-hu-[mi3-id] | a-di2 wa-ah-szu-sza-na [...] | lu ta-szi2-a-tum / x-[...] | x-[x]-szi2 i#-x-[...] | [...] ka3-ru-um re-bi-it-ni | [...]-ik-ni-a-ti2",
P360978,"AAA 1/3, 04","Pinches, Theophilus G.",,Letter,Akkadian,Old Assyrian (ca. 1950-1850 BC),no translation,True,19,False,"a-na lu2-{d}suen | qi2-bi-ma um-ma | a-mur-esz18-dar u2 a-bu-sza-lim-ma | 3(disz)? _tug2 hi-a_ sza qa2-tim | i-na szi2-i-im _sze_-i-ka3 | ni-isz-[...] ku | . x [...] | . _ku3-babbar_-pi2 x [...] | . 1(u) 6(disz) _gin2-ta an-na_ [...] | . ni-isz-a-ma-kum-ma | . _an-na_ szu-su2-in na-sza-a-am | . la2 i-mu-a / i-na | . war-ki-u2-tim | . wa-s,e2-e | . _an-na_-ka3 nu-sze2-ba-la2-am | . n _gin2 ku3-babbar_ [a]-na | . [...]-gal-tim | sza-bu-su2 ta-a-[...] | tal-qe2",
P360979,"AAA 1/3, 05","Pinches, Theophilus G.",,,,Old Assyrian (ca. 1950-1850 BC),no translation,True,13,False,. [...] ki a [...] | . [...] n _ma-na_ [...] | . [...] ar u2-sze2-bi-il5 [...] | . [...] tim a-szar a-mu-tam2 [...] | . [...] ta-di2-in um-ma ma-nu-ki-a-[szur-ma] | . [...] i ra ma-ti2-ka3 / a-na a-wi-il5-tim | . [...] x-in um-ma szu-esz18-dar-ma a-na | . [ma]-nu-ki-a-szur-ma a-ta / a-mu-tam2 | . [ha-bu-la2]-ti2-ma u3 a-na-ku i-ra-mi3-[ni-a] | . [sza ta-da]-nam / a-da-an / szi2-im a-ab2-[...] | . [...] szu-esz18-dar a-na ku-nu-ki [...] | . [...] u3 a-szu-mi3 a-mu-tim [...] | . [...] nam a-na [...],
P360980,"AAA 1/3, 06","Pinches, Theophilus G.",,,,Old Assyrian (ca. 1950-1850 BC),no translation,True,35,False,"[a-na szi2-ip-ri sza a]-lim{ki} | [u2 ka3-ri-im ka3-ni-isz]{ki} | [qi2-bi-ma um-ma ma]-num#-ki-{d}iszkur-ma | [...] hu-lu-qa2-e | [...] qa2-pi3-it-ra | [...] i-bu-ra-ni-ma | [...] e#-ra-ab2-ku-nu | [...] asz2-me-szu-ma | [...] x | [um-ma] a#-na-ku-ma t,up-pa2-am | sza a-ba-e-ka3 ta-asz2-ta-me | hu-lu-qa2-e ta-e-er-ma | _igi_ a-szur li-ik-ru-bu-ni-kum | um-ma szu-ut-ma na-as-pi3-tam2 | e#-pa2-asz2 wa-ar-ki | na-as-pi3-tim hu-lu-qa2-e | u3#-ta-ar u3 sza ir-na#-[x] | na#-as!-pi3-tim e-pa2-azs2-[ma] | [...] a-ba-e-a | [...] ba-al wa-ar-ki | na-as-pi3-tim _iti 1(disz)-kam_ | [...]-la2-ak um-ma a-na-ku-ma | [...] wa-asz2-ba-ku ru-ba-am | [...]-tam2 dan-na-tam2 a-na-ku | [...] hu-lu-qa2-e ni-pu-ul-ma | [...] tim ur-du-ni-ma | [...] u2-sze2-s,i2-u2-ni [...] | [...] du | [...]-du-nu-ni-a-ti2-ni | [...] im sza a | [...]-ni-ku ni-di2-in | [...] a-na-ku | [...] x ir x | [...]-ma-al | [...] i?-ma",
P360981,"AAA 1/3, 07","Pinches, Theophilus G.",,,,Old Assyrian (ca. 1950-1850 BC),no translation,True,15,False,"9(disz) _gin2 ku3-babbar_ s,a-ru-pa2-am | i-s,e2-er pi3-la2-ha-a | _dumu_ ni-ra-ah-s,u2-lu-li _dam-gar3_-ru-um | i-szu a-li i-na-mu-ru | i-sza-qa2-al _iti-kam_ | sza sa3-ra-tim li-mu-um | sza qa2-at i-na-su2-in | a-na e-ti2-szu i-sza-qa2-al | szu-ma la2 i-sza-<qa2>-al | ki-ma a-wa-at | ka3-ri-im s,i2-ib-tam2 | u2-s,a-ib2! _igi_ bu-zi-a | _dumu_ en-nam-a-szur3 | _igi_ szu-ma-li-ba-a-szur | _dumu_ szal2-ma-a-szur",
P360982,"AAA 1/3, 08","Pinches, Theophilus G.",,,,Old Assyrian (ca. 1950-1850 BC),no translation,True,17,False,"ta-ta-li-i u2 ti2# [...] | szu-pi3-a-ni-ka3 a-na# | me-er-u2-tim il5#-[qe2-u2] | szi2-im-nu-ma-an | _dumu_ ta-ta-li-i | szu-pi3-a-ni-ka3 e-[ra-ab-ma] | be2!-tam2 isz-te2-ni-[isz] | usz-bu-u2 szu-ma [la2] | usz!-bu-u2 szu-ma | la2 i-t,i2-ab2-szu-nu | szi2-im-nu-ma-an | u2 szu-pi3-a-ni-ka3 lu | u2-sze2-szu-bu-szu-nu | _igi_ a-na-na | _igi_ ha-ma-na-ni | _igi_ ut-ni-ih-szu | _igi_ hi-isz-ta-ah-szu-szar",
P360983,"AAA 1/3, 09","Pinches, Theophilus G.",,,,Old Assyrian (ca. 1950-1850 BC),no translation,True,7,False,[...] 1(disz) 2/3(disz) _ma-na_ | 5(disz) _gin2 ku3-babbar_ | hu-lu-pa2 | i-ku-pi3-a-szur3 | qa2-ta-tum | qa2-du szi2-im | _uruda_ sza a-szur-{d}utu,
P405519,"AAA 1/3, 10","Pinches, Theophilus G.",,,,Old Assyrian (ca. 1950-1850 BC),no translation,True,10,False,_1(disz) tug2_ szu-ra!-am | _8(disz) 1/2(disz) gin2_ | _2(disz) tug2_ ku-ta-ni | _1(u) 5(disz)? gin2-ta_ | pu-szu-ke-en6 | i-di2-in | i-nu-mi3 | a-na si2-ka3-tim | i-na-a | i-li-ku,
P429407,"AAA 1/3, 11","Pinches, Theophilus G.",,Administrative,Akkadian,Old Assyrian (ca. 1950-1850 BC),no translation,False,0,False,,
P429408,"AAA 1/3, 12","Pinches, Theophilus G.",,Administrative,Akkadian,Old Assyrian (ca. 1950-1850 BC),no translation,False,0,False,,
P360984,"AAA 1/3, 13","Pinches, Theophilus G.",,Letter,Akkadian,Old Assyrian (ca. 1950-1850 BC),no translation,True,26,False,"a-na ha-nu-nu qi2-bi4-ma | um-ma wa-la2-wa-la2-ma | a-na-kam / mu-ur-s,a!-am | sza ta-mu-ri-a | asz2-me a-ma-kam szu-ma | sza-li-im / a-mu-ur-szu-ma | a-pu-tum te2-er-ta-ka3 | u2 te2-er-tu3-szu | li-li-kam-ma | li-bi4 / li-nu-uh2 | a-na-kam | la2 ni-ra-szi2 | a-pu-tum | a-pu-tum | szu-ma be-li | a-ta te2-er-tak2-nu | ar-hi-isz li-li-kam | ka3-ar-na-ba | u2-sze2-bi4-il5-ka3 | te2-er-ta-ka3-ma | mi3-szu-um | la2 i-li-ka3-am | a-na ha-nu-nu | _kiszib3_ du-u2-i-du-u2-i | a-pu-tum a-na-wa-at | t,up-pi3-im i-hi-id",
P360985,"AAA 1/3, 14","Pinches, Theophilus G.",,,Akkadian,Old Assyrian (ca. 1950-1850 BC),no translation,True,37,False,"1/3(disz) _ma-na ku3-babbar_ | s,a-ru-pa2-am be2-u2-la2-at | szu-esz18-dar puzur4-a-na | i-di2-in isz-ti2 | _ku3-babbar_ uk-ta-al | a-gu5-za a-bu-szu _ku3-babbar_ | il5-qe2 isz-tu3 | wa-di2 i-sa3-ri-du#-ni | a-di2 5(disz) sza-na-at | isz-ti2 puzur4-a-na | u2-sza-ab2 | la2 i-sza-mu-hu-ma | u2-la2 u2-s,i2 szu-ma | isz-ta-mu-hu-ma | i-ti2-s,i2 2(disz) _ma-na ku3-babbar_ | i-sza-qal | _igi_ i-di2-{d}iszkur | _dumu_ a-szur3-du10 | _igi_ esz18-dar-pa2-li-il5 | _kiszib3_ i-di2-{d}iszkur _dumu_ a-szur3-du10 | _kiszib3_ esz18-dar-pa2-li-il5 | _dumu_ szu-ku-bi-im _kiszib3_ a-gu5-za | _kiszib3_ szu-esz18-dar 1/3(disz) _ma-na ku3-babbar_ s,a-ru-pa2-am | be2-u2-la2-at szu-esz18-dar | puzur4-a-na i-di2-in | isz-ti2 _ku3-babbar_ uk-ta-al | a-gu5-za a-bu-szu _ku3-babbar_ il5-qe2 | isz-tu3 wa-di2 i-sa3-ri-du-ni | a-di2 5(disz) sza-na-at isz-ti2 | puzur4-a-na u2-sza-ab2 | la2 i-sza-mu-hu-ma | u2-la2 u2-s,i2 szu-ma | isz-ta-mu-hu-ma | i-ti2-s,i2 2(disz) _ma-na ku3-babbar_ | i-sza-qal | {d}a-szur3-[du10] | _dumu_ mar-tu",
P429409,"AAA 1/3, 15","Pinches, Theophilus G.",,Administrative ?,Akkadian,Old Assyrian (ca. 1950-1850 BC),no translation,False,0,False,,
P360986,"AAA 1/3, 16","Pinches, Theophilus G.",,,,Old Assyrian (ca. 1950-1850 BC),no translation,True,20,False,". [...] x x x [...] | . [...] ra?-tim sza [...] | . [...] x x in x [...] | . [...] x tum x x isz [...] | . [...] x _gin2 ku3-babbar kiszib3?_/um [...] | . [...] i-na t,up-pi2-im sza [...] | . [...] x sza-du-a-tim [...] | . [...] u3 ka3-ri-im [...] | . [...] x u3 [...] | . [...] _ku3-babbar_ [...] | . [...] x x [...] | . [...]-bu-ni-ni isz-tu3 [...] | . [...]-ba-ni 2/3(disz) _ma-na_ 5(disz) _gin2#_ [...] | . [...] _ma-na_ 5(disz) _gin2 ku3-babbar_ [...] | . [...] _gin2 ku3-babbar_ nu-war-lugal [...] | . [...] _ma#-na_ 5(disz) _gin2 ku3-babbar_ szu?-ku-bu?-um [...] | . [...] _ma-na ku3-babbar_ szu-be2-lim _dumu_ szi2?-x [...] | . [...]-ba-ni _ARAD2_ sza ku-na 1/2(disz) _ma-na_ [...] | . [...]-x-nim 2/3(disz) _ma-na ku3-babbar_ x [...] | . [... x x x x ...]",
P360987,"AAA 1/3, 17","Pinches, Theophilus G.",,Letter,Akkadian,Old Assyrian (ca. 1950-1850 BC),no translation,True,8,False,[a]-na i-di2-a-bi-im qi2-bi4-ma | [um]-ma i-ku-pi2-a-ma | [n] 6(disz) _ma-na la2_ 2(disz) 1/2(disz) _gin2_ | _ku3-ki_ ku-nu-ki-a lu-lu | _dumu_ am-ri-a na-asz2-a-ku-um | [...] szi2-im 2(asz) 1/2(asz) _gu2 an-na_ | [...] | . [... x ...] wa-ar zi-ik-ri-x,
P360988,"AAA 1/3, 18","Pinches, Theophilus G.",,,,Old Assyrian (ca. 1950-1850 BC),no translation,True,7,False,. [...] x [...] | . [...] 2(disz) 1/2(disz) [...] | . [...] x be za be [...] | . [...]-zu-szi2 1/3(disz) _ma-na_ [...] | . [...] _gin2?_ szi2-im _tug2 hi-a_ [...] | . [...] li-bi4 [...] | . [...] bi4-ma [...],
P360989,"AAA 1/3, 19","Pinches, Theophilus G.",,,,Old Assyrian (ca. 1950-1850 BC),no translation,True,10,False,. [...] hu-um [...] | . [...] szi2#-ip-ru-um szu-[...] | . [...] tap sza x x [...] | . [...] a-lim{ki} [...] ti2-szu | . [...] szi2!-ip-ru a-mi3-sza-[am] | . [...] i-sa2-x-nim | . [...] a-na ka3-ri-im | . [...] x x x x x | . [...] il5 | . [...] la2-szu,
P360990,"AAA 1/3, 20","Pinches, Theophilus G.",,,,Old Assyrian (ca. 1950-1850 BC),no translation,True,8,False,. x x [...] | . ti2-ib-[...] | . ka3-ar# | . i-ba x [...] | . um-ma i-[...] | . a-na e-x-[...] | . x x x ma [...] | [...]-am,
P360991,"AAA 1/3, 21","Pinches, Theophilus G.",,,,Old Assyrian (ca. 1950-1850 BC),no translation,True,1,False,. {d}ku-szu-um szu [...],
P429410,"AAA 1/3, 22","Pinches, Theophilus G.",,,,Old Assyrian (ca. 1950-1850 BC),no translation,False,0,False,,
P429411,"AAA 1/3, 23","Pinches, Theophilus G.",,,,Old Assyrian (ca. 1950-1850 BC),no translation,False,0,False,,
P513703,"AAA 19, pl. 78","Thompson, Campbell R. & Hamilton, R. W.",,Royal/Monumental,,Old Assyrian (ca. 1950-1850 BC),,False,0,False,,
P391092,"ActOrHun Or 41, 13-16",,,Letter,Akkadian,Old Assyrian (ca. 1950-1850 BC),no translation,True,21,False,"a-na a-szur-sza-di2-li | qi2-bi2-ma um-ma | {d}a-szur-ma-a-su2 | tu3-sza-hi-sa3-ni-ni | _an-na_ a-na a-szur-ta-ak-la2-ku | _dumu_ a-am-ri-a / _igi_ ha?-na | ap2-qi2-su2-um / a-na _an-na_-ki-ka3 | li-ba-ka3 / i-ha-du | a-hi a-ta / i-hi-id-ma | 4(disz) 1/2(disz) _ma-na uruda sag10_ | isz-ti2 / szal2-ma-a-szur | _dumu_ {d}iszkur-sag10 | sze2-s,i2-am / a-pu-tum | szu-ma ta-ra-a-ma-ni | _uruda_-am la2 te2-zi-ba-am | szu-ma ta-da2-ga-al-ma | _uruda_ la2 i-sza-qa2-al | t,up-pu-szu hi-ri-im | i-na ti2-ti2?-hu-ur | i-na e-ra-szi2!-im | nu-qa2-ma",
