name,father,institution,n_docs,earliest,latest,span_years,roles,doc_ids
Serenos,Horos,michigan,1,262.0,262.0,0.0,,michigan.apis.1055
Serenus,Dioskoros,michigan,1,262.0,262.0,0.0,,michigan.apis.863
Serenus,Horion,michigan,1,149.0,149.0,0.0,,michigan.apis.2804
Thakoul,Gemellus,michigan,1,,,0.0,,michigan.apis.808
Severus,Severus,michigan,1,249.0,249.0,0.0,,michigan.apis.235
Sinthronis,Pekysis,michigan,1,,,0.0,,michigan.apis.1261
Sisois,Anchorimphis,michigan,1,162.0,162.0,0.0,,michigan.apis.1082
Sisois,Mares,michigan,1,-50.0,-50.0,0.0,,michigan.apis.811
Sisois,Phaesis,michigan,1,199.0,199.0,0.0,,michigan.apis.2252
Sisois,Psikem,michigan,1,249.0,249.0,0.0,,michigan.apis.975
Sokmenis,Kalmos,michigan,1,149.0,149.0,0.0,,michigan.apis.786
Sokmenis,Kraton,michigan,1,-50.0,-50.0,0.0,,michigan.apis.275
Sokmenis,Kreon,michigan,1,-50.0,-50.0,0.0,,michigan.apis.280
Sokrates,Dioskoros,michigan,1,132.0,132.0,0.0,,michigan.apis.1245
Sokrates,Seuthes,michigan,1,249.0,249.0,0.0,,michigan.apis.1169
Thaseis,Pachumis,michigan,1,249.0,249.0,0.0,,michigan.apis.10
Theagenes,Horion,michigan,1,,,0.0,,michigan.apis.1014
Thenosiris,Psenosiris,michigan,1,,,0.0,,michigan.apis.1241
Theodoros,Pomaios,michigan,1,,,0.0,,michigan.apis.1229
Theodoros,Romaios,michigan,1,,,0.0,,michigan.apis.1229
Theon,Petnou,michigan,1,-100.0,-100.0,0.0,,michigan.apis.3359
Timokles,Ariston,michigan,1,,,0.0,,michigan.apis.1814
Timon,Timon,michigan,1,200.0,200.0,0.0,strategos,michigan.apis.1540
Titianus,Ptolemaios,michigan,1,249.0,249.0,0.0,,michigan.apis.766
Tothes,Onnophris,michigan,1,,,0.0,,michigan.apis.3252
Toullas,Ouenaphris,michigan,1,449.0,449.0,0.0,,michigan.apis.2405
Trophonios,Apollon,michigan,1,25.0,25.0,0.0,,michigan.apis.1210
Valerius,Ptolemaios,michigan,1,262.0,262.0,0.0,,michigan.apis.569
Vales,Sarapion,michigan,1,262.0,262.0,0.0,,michigan.apis.550
Varus,Alei,michigan,1,149.0,149.0,0.0,,michigan.apis.2804
Abous,Pekysis,michigan,1,262.0,262.0,0.0,,michigan.apis.311
Zenon,Agreophon,michigan,1,,,0.0,,michigan.apis.1814
Alexander,Chaeremon,michigan,1,266.0,266.0,0.0,,michigan.apis.2355
Ammonios,Apion,michigan,1,149.0,149.0,0.0,,michigan.apis.1071
Ammonios,Onnophris,michigan,1,,,0.0,,michigan.apis.2514
Ammonis,Papeis,michigan,1,,,0.0,,michigan.apis.22
Anchophis,Onnophris,michigan,1,175.0,175.0,0.0,,michigan.apis.805
Anchophis,Satabous,michigan,1,175.0,175.0,0.0,,michigan.apis.805
Anchorimphis,Aunes,michigan,1,199.0,199.0,0.0,,michigan.apis.2252
Anoubion,Melas,michigan,1,349.0,349.0,0.0,,michigan.apis.2403
Antel,Esouris,michigan,1,199.0,199.0,0.0,,michigan.apis.2850
Anthestis,Touam,michigan,1,249.0,249.0,0.0,,michigan.apis.1021
Antinoos,Ammonios,michigan,1,262.0,262.0,0.0,,michigan.apis.311
Antipatros,Aristogeiton,michigan,1,,,0.0,,michigan.apis.1814
Antoninus,Isidoros,michigan,1,,,0.0,,michigan.apis.1176
Antoninus,Sokrates,michigan,1,,,0.0,,michigan.apis.2576
Achillas,Antoninus,michigan,1,,,0.0,donkey-driver,michigan.apis.1002
