institution,doc_id,hgv_id,tm_id,ddb_hybrid,filename,title,summary,date_text,date_year_approx,provenance,language,genre,transcription_text,translation_text,has_translation
michigan,michigan.apis.761,42694,42694,o.mich;2;816,michigan.apis.761,Receipt (Certificate) for work on the embankments,Certificate for work on the embankments performed by a slave named Dioskoros,(Late) IInd century/(early) IIIrd century A.D. (August 26),162.0,"probably Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",grc,Documentary; Ostracon,,"In the 1st year, on Mesore 3rd intercalary day, Dioskoros, slave of Harpalos has given (his part).",True
michigan,michigan.apis.762,42798,42798,o.mich;2;919,michigan.apis.762,Receipt for Transport of Grain,Receipt for delivery of grain brought by a Sarapammon to an unknown harbor,"February 3 & March 5, 301 A.D.",,"probably Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",grc,Documentary; Ostracon,,"Of the crops of the 16th, 15th (and) 8th year, of the dekaprotoi Horion and Philotas, Sarapammon son of Horion, four donkeys of reed, = 4. In the 17th, 16th (and) 9th year, on Mecheir 9. And similarly in Phamenoth until the 9th, four donkeys, = 4.",True
michigan,michigan.apis.763,42769,42769,o.mich;2;889,michigan.apis.763,Receipt for Transport of Grain,"Receipt for delivery of grain brought by a Tithoeis, in the name of Sarapamon and Tetas, in an unknown harbor","June 17[?], 289 A.D.",,"probably Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",grc,Documentary; Ostracon,,"(Through beasts?) of Dinnis, through Tithoeis, of the village of the horiodeiktia of Karanis, for the receiving of the annona, in the name of Sarapamon and Tetas, one donkey. In the 5th and 4th year, on Pauni 23.",True
michigan,michigan.apis.764,42783,42783,o.mich;2;904,michigan.apis.764,Receipt for Transport of Grain,Receipt for delivery of grain brought to an unknown harbor by a Chairemon,"January 6, 297 A.D.",,"probably Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",grc,Documentary; Ostracon,,"In the granary of the horiodeiktia of Karanis, of the crops of the 12th and 11th and 4th year, in the name of Chairemon, veteran, three donkeys, = 3. In the 13th and 12th and 5th year, on Tybi 11.",True
michigan,michigan.apis.765,42804,42804,o.mich;2;925,michigan.apis.765,Receipt for Transport of Grain,Receipt for delivery of grain brought by a Sarapammon to an unknown harbor,"September 8[?], 302 A.D.",,"probably Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",grc,Documentary; Ostracon,,"Through sitologoi [has shifted (to the harbor)] Sarapammon son of Horion, [for the crops of the 18th] and 17th and 10th year, of those [from . . . of the 18th year] until [Thoth 11(?)] of the 19th and 18th and 11th year, seven donkeys, equal [7] donkeys. In the 19th and 18th and 11th year, on Thoth 11(?).",True
michigan,michigan.apis.766,42760,42760,o.mich;2;882,michigan.apis.766,Receipt for Transport of Grain,Receipt for delivery of grain brought by a Titianus to an unknown harbor,IIIrd century A.D. (June 10),249.0,"probably Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",grc,Documentary; Ostracon,,"Titianus son of Ptolemaios, two sacks, equal 2. In the 5th year, Pauni 16.",True
michigan,michigan.apis.767,42715,42715,o.mich;2;837,michigan.apis.767,Receipt (Certificate) for work on the embankments,Certificate for work on the embankment performed by a greengrocer Petekas,IIIrd century A.D. (April 6),249.0,"probably Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",grc,Documentary; Ostracon,,"25th (cleruchy). Petekas, greengrocer, (2nd hand) on Pharmouthi the eleventh.",True
michigan,michigan.apis.768,14473,14473,o.mich;4;1134,michigan.apis.768,Receipt for Transport of Grain,Receipt for delivery of grain of Karanis brought in the name of a Pateus to an unknown harbor,311/312 A.D.,311.0,"probably Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",grc,Documentary; Ostracon,,"In the granary of the village of Karanis, through Kopres and his associates, sitologoi, of the crops of the 8th and 6th and 4th year, in the name of Pateus, 2 mules, through beasts of Akinios. . . .",True
michigan,michigan.apis.769,30553,30553,o.mich;3;1089,michigan.apis.769,List of Liturgical Workers,List of men,(Late) IIIrd century/(early) IVth century A.D.,262.0,"probably Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",grc,Documentary; Ostracon,,Pantelis;Patisis son of Isidoros;Paesis son of Patermouthis;Palemon son of Thiok,True
michigan,michigan.apis.77,42233,42233,o.mich;1;46,michigan.apis.77,Order for Payment,Order for delivery of wheat,Ist century A.D.,50.0,Unknown,grc,Documentary; Ostracon,,"Apollonios to Pammenes, greetings. Deliver to Tesenouphis, son of Sentheus, on the account of Apion, one choinix of wheat, equal 1 choinix of wheat. Year 3, Hathyr 18.",True
