doc_id,hgv_id,tm_id,ddb_hybrid,filename,date_text,date_year_approx,provenance,language,transcription_text,translation_text,has_translation
p.zen.pestm.21,1852,1852,p.zen.pestm;;21,p.zen.pestm.21,246 BC,-246.0,Philadelphia,grc,"μαρτυρεῖ Ἀντιπάτρωι Εὐφρόνιος Ἀπολλωνίδου Ἀμμωνιεὺς ὡς ἐτῶν λε εὐμεγέθης εὔρωστος κλαστὸς μελ ίχ ρους τετανὸς οὐλὴ ὀφρύων δε ξιᾶι. οἰκῶ ἐν ἐμ Φιλαδελφείαι τοῦ Ἀρσινοΐτου. τοῦ δὲ β ἔτους μηνὸς Πανήμου, ὄντος μου καὶ Νίκωνος καὶ ἄλλων τινῶν ἐν τῶι Εὐδόξου κουρείωι, παραγενόμενος Ἀντίπατρος καὶ Σῖμον, οἷς μαρτυρῶ, εἰς τὸ κουρεῖον τοῦτο ἠξίουν Νίκωνα ἀποδοῦναι αὐτοῖς τὸν υἱὸν αὐτῶν Θεο δόσιον. Νίκων δὲ ὁ κρινόμενος πρὸς Ἀντίπατρον οὐκ ἔφατο εἰληφέναι τὸ παιδάριον παρʼ αὐτῶν οὐδὲ ἔχειν αὐτὸ παρευρέσει οὐδεμιᾶι. Εὐφρονίου. ἔτους β Γορπιείου κϛ . φέρει Ἀντιπάτρωι πρὸς ἀντί δ ικον Νίκωνα.",,False
p.zen.pestm.22,1853,1853,p.zen.pestm;;22,p.zen.pestm.22,257 BC,-257.0,Philadelphia,grc,"Ἀμμώνιος Ζήνωνι χαίρειν. ἀπεστάλκαμεν Ἀπολλωνίωι τοὺς υ στεφάνους τῶν βαλωσ τί ω ν περὶ ὧν ἔγραψεν ἡμῖν κατασκευάσαι ὥστε τῶι βασιλεῖ. καλῶς ἂν οὖν ποιήσαις ἐπιμεληθεὶς ὅπως τὸ τάχος παραληφθῶσι πα ρ ὰ τ ην τὸν Ἀπολλωνίου ὅτι ἀπέχει. τὸ δὲ ἐρυθρύδα ν ο ν γίνωσκε συν ηγορασμένου το ῦ παρὰ σοῦ ἐκ δραχμῶν κε ὅσου ἔφη χρείαν ἔχειν τοῦ παρὰ σοῦ τάλαντα γ ἐκ δραχμῶν κε τὸ τάλαντον, ἐπωλεῖτο δὲ ἀνὰ δραχμὰς λ . ἵνα οὖν εἰδῇς εἰδῆις γέγραφά σοι. καὶ Χάρμον δὲ τὸν παῖδα ἀποστελῶ πρὸς σὲ τὸ τάχος διωικημένον περὶ πάντων. χαρίζοιο δʼ ἄν μοι φροντίσας ὅπως αἱ λοιπαὶ ἐπιστολαὶ αἱ παρʼ ἡμῶν ἀποδοθῶσι Ἀπολ λ ω ν ίωι εὐκαίρως καὶ ἵνα ἀντιγραφῆι ἡμῖν πρὸς ἕκαστα ἐπιμεληθείς. ἔρρωσο. ἔτους κη Τῦβι ζ . Ζήνωνι. Ἀμμωνίου. στεφάνων. ἔτους κη Αὐδναίου κη , ἐν τῶι Βερενίκης ὅρμωι.",,False
p.zen.pestm.23,1854,1854,p.zen.pestm;;23,p.zen.pestm.23,257 BC,-257.0,Philadelphia,grc,"Ἀμύντας Ζήνωνι χαίρειν. παρεγενήθη πρὸς ἡμᾶς ὁ κοιλουργὸς ἀξ ιῶν με γράψαι πρὸς σὲ ἵνα μὴ ἀδικηθῆι. καλῶς ἂν οὖν ποιήσαις ἀφεὶς αὐτὸν εἴ τι μὴ μέγα ἡ μ άρτηκεν , εἰς δὲ τὸ λοιπὸν φησὶν εὐτακτήσειν· ἐπετιμῶμεν ἐπετιμῶμεγ γὰρ αὐτῶι καὶ ἡμεῖ ς ἐπειδὴ περιτρέχει καὶ οὐκ ἐργάζεται. ἀξιοῖ δὲ ἐν Μέμφει ἀπολειφθεὶς ἐργάζεσθαι. εἰ οὖν μ ηδέν τι ἄλλο Ἀπολλώνιος συντάσσει καλῶς ἂν ποιήσαις ἐπιχωρήσας αὐτῶι. ἔρρωσο. ἔτους Ζήνωνι. Ἀμύντας περὶ Χάρητος κοιλουργοῦ. ἔτους κη Περιτίου ιβ , ἐ ν ἐ μ Βουβάστωι. αν",,False
p.zen.pestm.24,1855,1855,p.zen.pestm;;24,p.zen.pestm.24,257 BC,-257.0,Philadelphia,grc,"Ἀμύντας Ζήνωνι χαίρει ν. γίνωσκε ὅτι ὁ μά γειρος, ὃν ὑμεῖς ἐπρίασ θε, λαβὼν χαλκοῦ δραχμὰς π , ὥστ ε εἰς χόρτασμ α τοῖς ἵπποις, ἀποδέδρακ εν, συνήν τηκε δέ τισιν περὶ Ἀθλῖβιν, ὃς καί ἐστιν παρὰ τ οῖς Καππάδοξιν τοῖς ἐκε ῖ σταθμὸν ἔ χουσιν. καλῶς ἂν οὖν ποιήσαις τοῖς τ ε παισὶ πᾶσι διαγγείλας καὶ γρά ψας πρὸς οὓς ἂν ὑπολαμβάνηις χρήσιμον εἶν αι, ἵ να, ὡς ἂν οἱ παρʼ ἡμῶν ἐπιλαμβ άνων ται αὐτοῦ, συναντιλάβωνταί τ ε τοῦ κ α τασταθῆναι αὐτὸν πρὸ ς ὑμᾶς . ἔρρωσο. ἔτους κη Ζήνωνι. ἔτους κη Δύστρου η , ἐν Μένδητι. Ἀμύντας περὶ τοῦ μαγείρου τοῦ ἀποδράντος.",,False
p.zen.pestm.25,1856,1856,p.zen.pestm;;25,p.zen.pestm.25,257 BC,-257.0,Philadelphia,grc,"Ἀπολλώνιος Ζήνωνι χαίρειν. τ ὸ ἔλαιον τὸ παραγεγενημένον ἡμῖν ἐξ οἴ κου κα τ εἰς Ἐμπόριον ἐξελοῦ καὶ λαβὼν π αρʼ Ἡγήμον ος ἀπόστασιν ὅ τι ἀσφαλεστάτην κατάστησ ον τῶν παίδων τοὺς τηρήσοντας ἕω ς ἂ ν παραγενόμενοι προσα γ άγω με ν οἰκονομία ν . ἔρρωσο. ἔτους κθ Δ αισίου η , Παχ ὼν Ζήνωνι. Ἀπολλώνιος περὶ τοῦ παραγεγο νότος ἐλαίου ἐξ οἴκου. ἔτους κθ Δαισίου ι , ἐν Ἀλεξ ανδρείαι .",,False
p.zen.pestm.26,1857,1857,p.zen.pestm;;26,p.zen.pestm.26,255 BC,-255.0,Philadelphia,grc,"Ἀπολλών ι ος Ζήνωνι χαίρειν. ἀπεστάλκα μεν εἰς Φιλαδέλφειαν φυτὰ ἀμπέ λ ινα μύρια , μοσχεύματα χί λια πεντακόσια , ῥόϊνα πεν τ ακόσια ος τῶν παίδων. ἐπιμελῶς ο ὖ ν φύτε υ σον. ἔρρωσο. ἔτους λ , Ἀπελ λ αίου κα , Χο ιὰχ ι . Ζ ήνωνι . φυτῶν. ἔτους λ , Αὐδναίου δ , Τῦβι δ . Ἀπολλώνιος φυτῶν ἀμπελίν ων μ ύρια α μοσχευμάτων Αφ ῥόϊνα φ",,False
p.zen.pestm.27,1858,1858,p.zen.pestm;;27,p.zen.pestm.27,254 BC,-254.0,Philadelphia,grc,"Ἀπολλώνιος Ζήνωνι χ αί ρ ειν. ἀπέσταλκά σοι τῆς πρὸς Νικήρατον ἐ π ι στολῆς τὰ ἀντίγραφα τἀντίγραφα . ὡς ἂν οὖν καταχθῆι τ ὰ ξύλα εἰς τὴ ν , παραγενοῦ καὶ σύν τα ξον παρα κ ομί σ αι δι ὰ τ ῆς διώρυγος εἰς Φιλαδέλφ ε ιαν, καὶ τοῦτο ἐπιμελῶς γενέσθω. ἔρρωσο. ἔτους λβ Ὑπερβερ εταίου κε , Φαῶφι κε . Νικηράτωι. τὰ ξύλα τὰ ἠγορασμένα ἡμῖν διὰ Φανήσιος συντετάχαμεν ἐμβαλομένους εἰς πλοῖα ἀποστεῖλαι πρὸς σέ. ὡς ἂν παρα γ ένηται σύνταξον ἐξελέσθαι καὶ ἐπιμελές σοι γενέσθω ἵνα διατηρηθῆι· συντετά χαμεν συντετά χαμεγ γὰρ Ζήνωνι διὰ τῆς διώρυγος παρακομίσαι εἰς Φιλαδέλφειαν. ἔρρωσο. Ζήνωνι.",,False
p.zen.pestm.28,1859,1859,p.zen.pestm;;28,p.zen.pestm.28,III sac,,Philadelphia,grc,"Ἀπολλώνιος Ζήνωνι χαίρε ιν. ὡς ἂν παραγένηται Ἀντίκριτος, τήν τε κώμη ν πᾶσαν δεῖξον αὐτῶι καὶ τὸν τόπον οὗ μέλλομε ν οἰκοδομεῖν τὸ ἱερὸν τοῦ βασιλέως καὶ τῆς Φιλα δέλφου θεῶν Ἀδελφῶν καὶ τὸν δρόμον καὶ τὸ ἄ λσος. δεῖξον δὲ αὐτῶι καὶ τὰ περιχώματα καὶ τ τῆς δωρεᾶς μου , καὶ ἐμφάνισον ὅτι νεωστὶ ἤ ργμεθα τὴν κώμην κτίζειν. ἔρρωσ ο. Ζήνωνι.",,False
p.zen.pestm.29,1860,1860,p.zen.pestm;;29,p.zen.pestm.29,257 BC,-257.0,Philadelphia,grc,"Ἀθηνόδοτος Ζήνωνι χαίρειν. μὴ θαυμάσηις ὅτι οὐκ ἐνετύχ ο μεν. Ζωίλωι γὰρ ταξάμενοι ὥς ποτε αὐτῶι ἐδόκει καὶ συνθέμενος ἡμῖν ἐντ υχεῖν περὶ τῆς ἀφέσεως παρῆλκεν η ἕως ἀνεζεύξατε. ἠνάγκασεν οὖν ἡμᾶς ἀναπλεῦσαι εἰς τὴν Λίμνην. διὸ οὐκ ἠδυνάμεθα συνκατα π λ ε ῦσ αι ὑμῖν. δέομαι οὖν σου, ἀξιῶν καὶ Διονυσοδώρου ἕνεκεν τοῦ οἰκείου τοῦ συστήσα ντος , καὶ ἡμῶν δὲ αὐτῶν ἴσως γάρ που καὶ ἡμεῖς πού σοι χρήσιμοι ἐσ ό μ εσθα σωθέν τες γράψαι φιλότιμον ἐπιστολὴν πρὸς Ζωίλον, ἵνα ἡμᾶς ἀφῆι· ἐσμὲν γὰρ πρεσβύτεροι καὶ ἀδύνατοι. τὰ δὲ καθʼ ἡμᾶς ἀναγγελεῖ σοι Φιλίσκος ἕως ἂν οὖν σοι φαίνηται τὴν ταχίστην ἀποφῆναι αὐτῶι. ἔρρωσο. ἔτους κη Τῦβι . Ζήνωνι. Ἀθηνοδότου. ἔτους κη Αὐδαίο υ λ , ἐν τῶι Βερενίκης ὅρμωι.",,False
p.zen.pestm.3,1834,1834,p.zen.pestm;;3,p.zen.pestm.3,257 BC,-257.0,Philadelphia,grc,βασιλεύοντος Πτολεμαίου τοῦ Πτολεμαίου Σωτῆρος ἔτους κθ μηνὸς Μεσορὴ ιβ . ὁμολογοῦσι ὁμολογει Πετεῦρις Κολλούθου καὶ Ὀννῶ φρις Ὀννώ φρει Ἑθφεῦτος Ἑφθεῦτος καὶ Θεόφιλος Θεοφίλωι κηπουροὶ κηπουροις ὄντες οὐσι γ ἔχειν ὀψώνιον τῆς εἰκοσ ημ ερίας τοῦ Μεσορὴ δραχμὰς ε . βασιλεύοντος Πτολεμαί ου τοῦ Πτολεμαίου Σωτῆ ρος ἔτους κθ μηνὸς Μεσορὴ ιβ . ὁμολογοῦσι ὁμολογει Πετεῦρις Κολλού θου καὶ Ὀννῶφρις Ἑ θ φεῦτος κα ὶ Θεόφιλος κηπουροὶ κηπουροις ὄντε ς γ ἔχειν ὀψώνιον τῆς εἰκοσ ημ ερίας τοῦ Μεσορ ὴ δραχμὰς πέντε . Demotic Demotic Ἀμπελουργῶν. δραχμαὶ ε .,,False
