doc_id,hgv_id,tm_id,ddb_hybrid,filename,date_text,date_year_approx,provenance,language,transcription_text,translation_text,has_translation
p.eleph.1intdupl,5836,5836,p.eleph;;1intdupl,p.eleph.1intdupl,311/310 BC,-310.0,Elephantine,grc,"Ἀλεξάνδρου τοῦ Ἀλεξάνδρου βασιλεύοντος ἔτει ἑβδόμωι, Πτολεμαίου σατραπεύοντος ἔτει τεσσαρε σκαιδεκάτωι τεσαρε σκαιδεκάτωι μηνὸς Δίου. συγγραφὴ συνοικισίας Ἡρακλείδου καὶ Δημητρίας. λαμβάνει Ἡρακλείδης Ἡρακλείδης Τημνίτης Δημητρίαν Κώιαν γυναῖκα γνησίαν παρὰ τοῦ πατρὸς Λεπτίνου Κώιου καὶ τῆς μητρὸς Φιλωτίδος ἐλεύθερος ἐλευθέραν προσφερομένην ἱματισμὸν εἱματισμὸν καὶ κόσμον δραχμῶν Α , παρεχέτω δὲ Ἡρακλείδης Δημητρίαι ὅσα προσήκει γυναικὶ ἐλευθέραι πάντα, εἶναι δὲ ἡμᾶς κατὰ τὸ αὐτὸ ταυτὸ ὅπου ἂν δοκῆι ἄριστον εἶναι βουλευομένοις κοινῆι βουλῆι Λεπτίνηι καὶ Ἡρακλείδηι Λεπτίνου καὶ Ἡρακλείδου . ἐὰν εἰὰν δέ τι κακοτεχνοῦσα ἁλίσκηται ἁλίσκηται ἐπὶ αἰσχύνηι τοῦ ἀνδρὸς Ἡρακλείδου Δημητρία, στερέσθω ὧν ὧμ προσηνέγκατο πάντων. ἐπιδειξάτω δὲ Ἡρακλείδης ὅτι ἂν ἐγκαλῆι Δημητρίαι ἐναντίον ἀνδρῶν τριῶν , οὓς ἂν δοκιμάζωσιν ἀμφότεροι. μὴ ἐξέστω δὲ Ἡρακλείδηι γυναῖκα ἄλλην ἐπεισάγεσθαι ἐφ᾽ ὕβρει Δημητρίας μηδὲ τεκνοποιεῖσθαι ἐξ ἄλλης γυναικὸς μηδὲ κακοτεχνεῖν μηδὲν παρευρέσει μηδεμιᾶι Ἡρακλείδην εἰς Δημητρίαν· ἐὰν εἰὰν δέ τι ποιῶν ποῶν τούτων ἁλίσκηται Ἡρακλείδης καὶ ἐπιδείξηι Δημητρία ἐναντίον ἀνδρῶν τριῶν , οὓς ἂν δοκιμάζωσιν δοκιμάσωσιν ἀμφότεροι, ἀποδότω Ἡρακλείδης Δημητρίαι τὴν τὴμ φερνὴν ἣν προσηνέγκατο δραχμῶν Α , καὶ προσαποτεισάτω ἀργυρί ου Ἀλεξανδρείου δραχμὰς Α . ἡ δὲ πρᾶξις ἔστω καθάπερ ἐκ ἐγ δίκης κατὰ νόμον τέλος ἐχούσης Δημητρίαι καὶ τοῖς μετὰ Δημητρίας πράσσουσιν ἔκ τε αὐτοῦ Ἡρακλείδου καὶ τῶν καὶ ἐκ τῶν Ἡρακλείδου πάντων καὶ ἐγγαίων καὶ ναυτικῶν. ἡ δὲ συγγραφὴ ἥδε κυρία ἔστω πάντηι πάντως ὡς ἐκεῖ τοῦ συναλλάγματος γεγενημένου, ὅπου ἂν ἐπεγφέρηι Ἡρακλείδης κατὰ Δημητρίας Δημητρίαι ἢ Δημητρία τε καὶ οἱ τοὶ μετὰ Δημητρίας πράσσοντες ἐπεγφέρωσιν συμπράσσοντες, ὅπου ἂ ν ἐπ εγφέρωσιν κατὰ Ἡρακλείδου. κύριοι δὲ ἔσθωσαν ἔστωσαν Ἡρακλεί δης καὶ Δημητρία τε καὶ Δημητρία καὶ τὰς συγγραφὰς αὐτοὶ τὰς αὑτῶν φυλάσσοντες καὶ ἐπεγφέροντες κατ᾽ ἀλλήλων ἀλληλως . μάρτυρες μαρτερες μάρτυρες Κλέων Γελῶιος, Ἀντικράτης Τημνίτης, Λῦσις Τημνίτης, Διονύσιος Τημνίτης, Ἀριστόμαχος Κυρηναῖος, Ἀριστόδικος Κῶιος. seal seal seal seal",,False
p.eleph.20,5853,5853,p.eleph;;20,p.eleph.20,III sac,,Elephantine,grc,"Μίλωνι πράκτορι παρὰ Ξένωνος τοῦ Διονυσίου. ὑφίστα μ αι τῶν Πινύριος τοῦ Πρενέβθιος ὑπαρχόντων, ὧν τὸ καθʼ ἓ ν ὑπόκειται παραλαβὼν τά ξασθαι ἐπὶ τὴν βασιλικήν τρ άπεζαν τὰς λοιπὰς ἀνα φορὰς τρεῖς , ἃς οὐ τέτακται Φα γ ας τοῦ Ἀβι ή ν του δραχμὰς χιλίας ὀγδοήκοντα , ὧν τὸ τέταρτον μέρος χρυσίου ἢ ἀργυρίου και νοῦ νομίσματος δραχμὰς διακοσίας ἑβδο μήκοντα , καὶ τάξασθαι ἀπὸ τοῦ κε ἔτους ἐν ἔτεσιν τρισὶν ποιούμενος τὴν ἀναφορὰν ἐν τοῖς καθήκουσιν χρόνοις χρυσίου μὲν δραχμὰς ἐνενήκοντα , χα λκοῦ δὲ πρὸς ἄργυρον δραχμὰς διακοσίας ἑβδο μήκοντα γίνονται δραχμαὶ τριακόσιαι ἑξή κοντα · οἰκίας τῆς οὔσης ἐν Ἀ πόλλωνος Ἀ πόλωνος πόλει τῆι μεγάληι καὶ ἄλλης τὸ ἥμισυ ἥμυσυ καὶ γῆς τῆς ἐν Πε τλαρης ἐν Τσενα νη ἀρουρῶν δύο τὸ ἥμισυ ἥμυσυ καὶ ἄλλης γῆς τῆς ἐν Τκοι τόου ἀρουρῶν λ προσούσης τῆς νησιώτιδος νησίτιδος τὸ ἥμισυ ἥμυσυ ἀρούρας ιε , ὡσαύτως παστο φόριον ἐν Τεντύρει ἐντὸς τείχους· τῆς μὲ ν οἰκίας καὶ τὴν γῆν τὴν ἐν Τσενανη δραχμῶν χπ , τὸ δὲ πασ τοφόριον καὶ τὴν ἄλλην γῆν δραχμῶν υ , ὥστʼ εἶναι δραχμὰς Απ , προσδιορθώσομαι δὲ καὶ τὴν ἑξηκοστὴν καὶ τὰ λ οιπὰ τὰ καθήκοντα. ἔτους κ ε Παῶφι ζ 20ἐπιστολαί",,False
p.eleph.21,5854,5854,p.eleph;;21,p.eleph.21,223/222 BC,-222.0,Elephantine,grc,"Μίλωνι χα ί ρειν. τὴν γῆν τοῦ Πινύριος τοῦ Ἐστ φ ήνιος καὶ Ψ εν τ ε ῆτος τοῦ ἀδελ φοῦ καὶ Περενέβ θιος ἀδελ φοῦ τὴν ὑ πάρχουσαν ἐν Ψεγεπιτο αιτ Ψεγ ἐπι τι που τῆς ἀπὸ ἀπηλιώτου νησι ώ τιδος νησίτιδοσ , περὶ ὧν καὶ πρό τερόν σοι ἐπιδε δ ώκαμεν δραχμὰς χ , ὑφιστάμεθα ὑπιστάμεθα τῶν λ ἀρουρῶν δραχμὰς , ἵνα μηθὲν τῶι βασιλεῖ διαπέσηι. ἔρρωσο ἔτους κε Ἁθὺρ ϛ .",,False
p.eleph.23,5855,5855,p.eleph;;23,p.eleph.23,223/222 BC,-222.0,Elephantine,grc,"ἔτους κ ε Μεσορὴ ὅ ρ κ ος ιζ ἐν Πεκ τλαρης ἐν Τσενενη Μείλωνι τῶι παρʼ εὐ φ ρονίο υ πράκτορι ἱερῶν παρὰ Πανίσκου τοῦ Ποτάμωνος Πέρσου τῆς ἐπιγονῆς. βασιλεύοντος Πτολεμαίου τοῦ Πτολεμαίου καὶ Ἀρσινόης θεῶν Ἀδελφ ῶ ν ἔτους κ ε Μεσορὴ ιζ ἐν Ἀπόλλω νος πόλ ε ι τῆι μεγάληι Μείλωνι τῶι παρʼ εὐφρονίου πράκτορι ἱερῶν παρὰ Πανίσκου τοῦ Ποτάμωνος Πέρσου τῆς ἐπ ιγονῆς . ὀμνύω βασιλέα Πτολεμαῖον τὸν ἐκ ἐγ βασιλέως Πτολεμαίου καὶ Ἀρσιν ό ης θεῶν Ἀδελφῶν καὶ βασίλισσαν Βερενίκην τὴν τοῦ βασιλέως ἀδελφὴν καὶ γυ να ῖκ α καὶ θεοὺς Ἀδελφοὺς καὶ θεοὺς Σωτῆ ρας τοὺς τούτ ω ν γονεῖς καὶ τὴν Ἶσιν καὶ τὸν Σαρᾶπιν καὶ το ὺς ἄλλους θεοὺς πάντας καὶ πάσας· ἦ μὴν τὴν γῆν τὴν ἐν Τμουν ε τὸλ Τμουν τολ ἀρούρας β ἐν Πετλαρης ἐν Τσενενη τοῦ Ἀπολλωνοπολίτο υ , ἣν προκη ρύσσεις ὡς οὖσαν Ψεντεῆτος τοῦ Ἐσθφήνιος, μὴ εἶναι αὐτοῦ ἀλλ ʼ ἡ μετέρ α ν κ α ὶ ἔ χειν με ταύτης προσβολὴν καὶ κατ α βολήν, ἃ καὶ ἐπιδέδειχά σοι. ε ὐ ορκοῦ ντι μέν μέμ μ ο ι ε ὖ εἴη, ἐφιορκοῦντι δὲ ἔνοχο ν εἶναι τῆι ἀσεβείαι τ οῦ ὅρκου. seal",,False
p.eleph.24,5856,5856,p.eleph;;24,p.eleph.24,III sac,,Elephantine,grc,"Μίλωνι πράκτορι ἱερῶν παρὰ Φατρέους Παλήυιος Παλῆ υἱοῦ υἱοσ . τῆς Ψενταῆτος μεγάλου Ἐστφήνιος οἰκίας α καὶ ἡμίσους καὶ τοῦ ἐν τῶι ἱερῶι παστοφορίου καὶ τοῦ γέρως καὶ τῶν ἄλλων τῶν ὑπαρχόντων αὐτῶι ἐγγαίων, καθότι ἂν ἡμῖν ἐπιδείξωσιν οἱ βασιλικοὶ γραμματεῖς, ὑφίσταμαι δώσειν εἰς τὸ βασιλι κὸν ἐν ἔτεσι δ χαλκοῦ Ασ . κα ὶ τοῦ ἐν ἐμ Ῥενεβειος παστοφορίου τοῦ ἐντὸς τοῦ ἱεροῦ ὁμοίως π . εὐτύχει εὐτύχει .",,False
p.eleph.25,5857,5857,p.eleph;;25,p.eleph.25,III sac,,Elephantine,grc,"Μέλωνι τ ῶι παρὰ Εὐφρονίου πρ άκτο ρι τ ῶ ν ἱε ρῶ ν πα ρὰ Τατρ απ ρατου. ἐάν μοι προσβάλληις τὴν Πτώμφιος τοῦ Ἐστφήνιος εστφενιος τοῦ ο γενομένου γενομενος ἀρχιερέως ἀρχιερευς τοῦ Ἀπόλλωνος ἐν τῶι οἰκίαν, τάξομαι ἐπὶ τὴν βασιλικὴν τράπεζαν ἐν ἔ τεσιν τεσιν τέσσαρσιν καθότι καὶ τοῖς λοιποῖς πεποίηται χαλκοῦ δραχμὰς διακοσίας . ἔρρωσο.",,False
p.eleph.26,44567,44567,p.eleph;;26,p.eleph.26,224/223 BC,-223.0,Elephantine,grc,"Demotic ἔτους κδ Φαμενὼθ κ ὅρκος Ἁρσιήσ ιος Ἁρσι ος τοῦ παρὰ Σκονομήτιος ἐπιστάτου ἐπιστάτησ τοῦ ἐν Ἀπόλλωνος πό λει τῆι με γάληι ἱεροῦ, ἐφʼ ὧι τοὺς ὀφείλοντας τὴ ν βυσσίνη ν παραδώσει Ἄνδρωνι καὶ τὰ ἱερὰ ὀφ ει λήματα συνεισάξει.",,False
p.eleph.27,44603,44603,p.eleph;;27,p.eleph.27,223/222 BC,-222.0,Elephantine,grc,"Μίλωνι τῶι παρὰ Εὐφρονί ο υ πράκτορι ἱερῶν παρὰ Πινύριος τοῦ Ἐστφήνιος καὶ Ψινταῆτος μικροῦ Ἐστφήνιος. ἐπειδὴ ἐπρά θ η ἡ μ ῶν γ ῆ, ἣ ἦν ἐν Ψεβτομιτ τοῦ Ἀπολλωνοπο λίτου , ἀρούρας λ πρὸς ἐγγύην, ἣν ἐνε γυησάμεθ α εἰς ἔκτισιν Ἐστφῆνιν Πινύριος, εἰς ἃ προσωφείλη σ εν πρός τε τὰ βύσσινα καὶ τὴν πρόσοδον τοῦ ἱεροῦ τοῦ κγ ἔτους , ὁμοίως δὲ καὶ Βερενέβθις πρὸς τὸ αὐτὸ βυσσίνων ὀθονίων τοῦ ιθ ἔτους καὶ β ἔτους ἀρ γ υ ρίου ἀ ρ γυρί ου δραχμὰς τκ , ἀξιοῦμέν σε, ἐπειδὴ ἐν τα ῖ ς κατὰ τὸ διάγραμμα ἡμέραις τετάγμεθα τὸ ἀργύριον καὶ τοὺς τόκους ἐπὶ τὴν βασιλικὴν τράπεζαν, καλῶς ποιήσεις δοὺς ἡμῖν τὴν ἐπίλυσιν. τούτου δὲ γενομένου ἐσόμεθα οὐκ ἠδικημένοι. ἔρ ρω σο ἔτους κε Φαῶφι ιθ Demotic",,False
p.eleph.28,5859,5859,p.eleph;;28,p.eleph.28,223/222 BC,-222.0,Elephantine,grc,,,False
p.eleph.29,5860,5860,p.eleph;;29,p.eleph.29,III sac,,Elephantine,grc,"ποιή σεις πα ρ αγε νόμενος εἰς Ἀπόλλωνος πόλιν, ὅπως διοική σωμεν, περὶ ὧν σοι συνελάλησα σοι ἐχθ ές. ἐὰν δὲ μὴ εὐκαιρῆις εὐκαιρῇσ τ ο ῦ δια βᾶναι διαβῆναι , μηθὲν διοι κήσῃς περὶ τῶν κατὰ τοὺς ἱερέας ἱερεῖς ἕως τοῦ σοι συμμ εῖ ξαι. ἀναδέχομα ι δέ σοι πάντα σοι τὰ δί κ α ια ποιή σειν, ὥστε μ η θέν σο ι ἐγκ αλεῖν εγν",,False
