doc_id,hgv_id,tm_id,ddb_hybrid,filename,date_text,date_year_approx,provenance,language,transcription_text,translation_text,has_translation
p.eleph.wagner.I,58497,58497,p.eleph.wagner;;I,p.eleph.wagner.I,299/8 or 279/8 BC,-8.0,Elephantine,grc,"γνώσεως μέρος τῆς γενο μένης ἔτους ζ διὰ χρημα τιστῶν Πασιστράτου πᾶσι στρατοῦ Λοφίου λοφίου ἐκ πάντων οὖν τούτων κρίνομεν Μουσαῖον ἀπα χθῆναι εἰς τὰ ἔργα. ἀπαχθῆναι δὲ καὶ Νικίαν Νικάνορος Μακεδόνα εἰς τὰ ἔργα, ὃς οὐκ ἐστὶν ἐμφανὴς ἐμφανὲς ἐπὶ τοῦ παρόντος, ὅτι ἐπεγράφη κύριος Βιοτῆς τοῦ πατρὸς αὐτῆς ζῶν τος οὐ λαβὼν πρόσταγμα παρὰ τοῦ βασιλέως οὐδὲ παρὰ χρηματιστῶν ἀλλʼ εἰς ταῦτα ἐπιδοὺς ἑαυτὸν παρὰ τοὺς νόμους οἷς ἐστὶν πρόγραμμα παρʼ ὧν χρὴ γαμεῖν ἀνάγειν δὲ αὐτὸν τὸν βουλόμενον ἐπ’ Αἰνησί δημον ἐπαινήσει ἐπαινήσι δῆμον",,False
p.eleph.wagner.II,78214,78214,p.eleph.wagner;;II,p.eleph.wagner.II,III sac (246-221BC?),-221.0,Elephantine,grc,"του Πτολεμαίου τοῦ Σιμαλίωνος. Μητροδώρας γὰρ τῆς γάρ μάμμης μάμας μου τρός μ ου ἀδελφὸς συγγραφὰς οἰκίας ἧς κατέλιπεν μήπω ἐν ἡλικίαι εἶναι, ἧς κα θ ήκει ἐμοὶ τὰ ἡμίσεα ἡμιση ς μου ἀπομερίσαι μοι τὸ ἐπιβάλλον μέρος οὐχ ἡ ιον ἐπ έ τρ εψά σοι τούτων καὶ ἐὰν ἐνδειξῶσι ἀπ οδοῦνα ι μο ι τὰ μέρη τὰ ἐπιβάλλοντά μοι Πετη αδ ἔ σομαι διὰ σέ, βασιλεῦ, τῶν πάντων εὐεργέ την εὐτύχε ι.",,False
p.eleph.wagner.III,78215,78215,p.eleph.wagner;;III,p.eleph.wagner.III,III sac,,Elephantine,grc,Νι κίαι χα ίρειν γρά μμα π α τὴν ἔντευ ξιν ἐν εκάλεσά σοι τ ε καὶ ὕβρεως σ ο ι ἐ πικαλῶ ἐὰν ἐπικαλέσω ἢ τὸ ἐπίτιμον δ ἔρρωσο. ἔτους ἤτους δωδε κάτου Ἁθὺρ τετράδι καὶ εἰκάδι.,,False
p.eleph.wagner.IV,67945,67945,p.eleph.wagner;;IV,p.eleph.wagner.IV,II sac?,,Elephantine,grc,κηροῦ δραχμὰς δ ύ ο πίσσης τ ε ταρτημ ο ρίου δραχμὰς δύο μυελ οῦ μοσχείου δραχ μ ὰς δύο λεπιδ ίου χ α λκοῦ δραχμὰς δύ ο μάνν ας δραχμὰς δύο ῥητίνης ῥετίνη ς Ἑρμονθ ι τ ης δρ α χμὰς δύο ἐλαίου ης,,False
