doc_id,hgv_id,tm_id,ddb_hybrid,filename,date_text,date_year_approx,provenance,language,transcription_text,translation_text,has_translation
p.dura.126,44860,44860,p.dura;;126,p.dura.126,AD 235,235.0,Dura,grc,"ι ω αι γενο μέ ν ου μερ ισμο ῦ μετ αξ ὺ αὐτῶν κατὰ τὴν συνή θ ε ι α ν τῆς κώμης ἀγράφως αὐ τ ὸν ἔργον πεποιη κ έναι ἐκεῖ κεραμι κ ὸν μηδὲ σαι αὐτῷ μ η δ ένα ἀλλότριον ἔρ γον, κτῆ σιν δ ὲ τοῦ κερ α μίου ἐσχηκέναι αὐτὸν Σ καὶ τὸν μερ ισμὸν τὸν γενόμενον ἀγράφω ς τῆ ς κώμης βέβαιον μένειν ἐξ οὗ ἀκ ούω το ῦ μερισμοῦ πρὸ χρόνου γενομένου του μι σ θοῦ μιθου παύσασθαι. Σεο υ ήρου καὶ Κυντιανοῦ ὑπάτων πρὸ δεκαδύο Καλανδῶν Μα ί ων Λαρώνιος Σεκουνδιανὸς χιλίαρχος χειλίαρχος σπεί ρης εἰκοστῆς Παλ μυρηνῶν Ἀλεξανδριανῆς τῇ ἀποφάσει ὑπʼ ἐμοῦ δεδο μέ ν ῃ ὑπέγραψα.",,False
p.dura.127,44861,44861,p.dura;;127,p.dura.127,AD 235,235.0,Dura,grc,,,False
p.dura.128,44862,44862,p.dura;;128,p.dura.128,AD 235,235.0,Dura,grc,,,False
p.dura.129,17235,17235,p.dura;;129,p.dura.129,AD 225,225.0,Dura,grc,"ἔτο υ ς ζλφ , μη ν ὸ ς Ἀπελλαί ο υ κε ἐ ν Δούρᾳ Αὐρήλι οι Οὔλπιος Δ ημήτριος δεκαδάρχης καὶ Ἀλ έξα νδρος Ὀροβάζο υ , ἱππεὺς τῆς Αὐρηλι αν οῦ τούρμης τῆ ς σπείρης εἰκοστῆς Παλμ υρηνῶν Σ ε ου ριανῆς Ἀ λ ε ξ α νδριαν ῆς, ἐξ ωμ ολογήσαντο πη γονη επ λεσ ο ἐ πὶ ἀγορὰς ἀρογε ὰ ς κρ ιθῆς κρ ειθῆς ἐ λλ αβόντες ἀρ γ ύρι ο ν δημ όσ ιο ν καινὸ ν ἔ κλογον ἐπὶ μεσιτῶν βαλ αι καὶ Οὐλ πί ου μ έ νου λικ ι καὶ Βασ ι λια νοῦ ι πλ ω γησ ιρα ο λίου μ υρι ε ου η α η ν κατὰ τὸ ἐ πιτετα γμ έ ν ο ν.",,False
p.dura.13,25135,25135,p.dura;;13,p.dura.13,I spc,,Dura,grc,"νοι τ ισσαραιερ ο ιαι καὶ τῶν ἐπιβαλλόντων σ υνδιοικουμένων σὺν Ν γ όραν Καλλαίου, Ζέβιδιν Ἀ τούτων τ ῶν ὠνῶν δραχμαῖς χιλί αις σ ει κ αὶ ἀν αζητήσει καὶ τοῖς λοιποῖ ς τοῖς ἐξα κ ολουθοῦσι πρὸς δι οίκη σι ν τῶν ὠνῶν δ ραχμὰ ς ὀ γδοήκοντα , τὰς δὲ πάσας τελῶν καὶ ἐνν ο μίων τ διὰ τετ ραμ ήν ου ἄ λ λοι π ρ ότερον ἐπρ α γμ ατεύ θησαν ἐν το ῖς διὰ τετραμήνο υ καὶ ἐ ξ έσ ται μ οι με τόχ ο υς προσλα β έσθαι τούτων τῶ ν ὠ νῶν ἂ ν ἐ θέλω ν υν φ ε ίου ἐνχειρι ῶ ν καὶ ἐξομολογοῦ μαι νέ με σ θαι β υν τῶ ν ὠν ῶν ἀπὸ δυσ μ ῶν Ε ἰ ας Ἀρ ε μ ίου ὁ ἐπ άν ω ἀ π εχρημ άτ ισα. ο ρ θω καις ραματιζειν τ ησαμονη ς",,False
p.dura.130,44863,44863,p.dura;;130,p.dura.130,AD 225,225.0,Dura,grc,,,False
p.dura.131,44864,44864,p.dura;;131,p.dura.131,ca. AD 219-25,25.0,Dura,grc; la,t urma Zibida Iul ius I,,False
p.dura.132,17236,17236,p.dura;;132,p.dura.132,-AD216,216.0,Dura,grc,δ λως κ αὶ δι αχε ωυ η ω ἀποκειμένων τοκρ α τωνε ι εκει ν επαρ τατ ω πι ς τάξεσ θ αι προς πεντο μοσ ι ε φ σα ι ν,,False
p.dura.133,78174,78174,p.dura;;133,p.dura.133,-AD216,216.0,Dura,grc,,,False
p.dura.134,78175,78175,p.dura;;134,p.dura.134,-AD216,216.0,Dura,grc,,,False
p.dura.135,78176,78176,p.dura;;135,p.dura.135,-AD216,216.0,Dura,grc,,,False
p.dura.136,78177,78177,p.dura;;136,p.dura.136,-AD216,216.0,Dura,grc,,,False
p.dura.137,30504,30504,p.dura;;137,p.dura.137,-AD216,216.0,Dura,grc,,,False
p.dura.138,78178,78178,p.dura;;138,p.dura.138,-AD216,216.0,Dura,grc,,,False
p.dura.139,78179,78179,p.dura;;139,p.dura.139,-AD216,216.0,Dura,grc,,,False
p.dura.14,25136,25136,p.dura;;14,p.dura.14,I/II spc,,Dura,grc,"ο χ ειτεν χ ρόνον θ ισθέντα ἴδια μου αὐτ ῶι ἀποδιδόναι, οὐδὲ πρὸς τὰ ὑπʼ ἐμοῦ καὶ ἀντὶ π αν τὸς δικαίου καὶ τοῦ καλῶς ἔχοντος μ τ ιν διʼ ἣν αἰτίαν προήχθην τὸ δεύτερον καὶ π ει ε ιαν ἀνθρωπίνην εἰσενεγκαμένοις ἀποκαταστασῆσα ι μοι τά τε γραφεῖα αὐτοῦ καὶ ἀμφ ιεσ μόν ἀναβάλλεσθαι ε ε ἀναγκασθ έ ντα",,False
p.dura.140,58145,58145,p.dura;;140,p.dura.140,-AD216,216.0,Dura,grc,,,False
p.dura.141,17237,17237,p.dura;;141,p.dura.141,AD 230-40-,,Dura,grc,σα πελ τοῦ κ ερ α μίου,,False
p.dura.142,78180,78180,p.dura;;142,p.dura.142,AD 230-40-,,Dura,grc,,,False
p.dura.143,78181,78181,p.dura;;143,p.dura.143,AD 230-40-,,Dura,grc,,,False
p.dura.144,30505,30505,p.dura;;144,p.dura.144,III spc,,Dura,grc,κλ ρατω ν υ σεω σαι αὐτ ο άρχου μ ατην ουτω ν β,,False
p.dura.145,78182,78182,p.dura;;145,p.dura.145,III spc,,Dura,grc,,,False
p.dura.146,30506,30506,p.dura;;146,p.dura.146,III spc,,Dura,grc,,,False
p.dura.147,30507,30507,p.dura;;147,p.dura.147,III spc,,Dura,grc,ρε ιπ εμελ λ ο τ ο εν πάντα κα βε οτ ενιευ,,False
p.dura.148,30508,30508,p.dura;;148,p.dura.148,III spc,,Dura,grc,μ αο ρω με τ ὰ τ επτη η ος,,False
p.dura.149,30509,30509,p.dura;;149,p.dura.149,III spc,,Dura,grc; la,γης νοσ φ που n επης κ η ε ομ μετά,,False
p.dura.15,78173,78173,p.dura;;15,p.dura.15,II sac,,Dura,grc,"ἀκρ οδρύοις καὶ ἐποικίωι καὶ π αρα δείσοις κ αὶ τοῖς συνκύρουσι πᾶσιν τὰ ὄντα ἐν τῆι Ἀρύββου ἐκάδι ἐν τῶι Κόνωνος τοῦ δεῖνος κλήρωι κατὰ τὰς προυπαρχούσας γειτνία ς πρὸ ς ἀργυρίου δραχμὰς ἑκατὸν εἴκοσι καὶ ἐπίτιμον τὸ ἴσον, ἃς ἔφη ὁ Φ ίλιππος δανεισθῆ ναι τῶι Ἀμυνάνδρωι ἐπὶ τῶι Ἀριστώνακτος τοῦ Ἀρίστωνος Εὐρωπαίου ὀνόματι κατὰ συγγραφὴ ν γενομένην διὰ τοῦ αὐτόθι χρεοφυλακίου ἐν τ ῶι ἑ πτακαιδεκάτωι ἑκατοστῶι ἔτει μηνὸς Πανήμου, χρήσαντος αὐτῶι τὸ ὄνομ α τοῦ Ἀριστώνακτος κατὰ χρηματισμὸν γεγενημέ νο ν ὑπὸ τοῦ Ἀριστώνακτος ἐν τῶι τρίτωι εἰκοστῶι ἑκατοστῶι ἔτει μην ὸ ς ὡσαύτως δὲ καὶ ἀ παίτησιν καὶ κηρύκειον· ἀπέδοτο λύσιμα κατὰ τὸν ν όμον παρόντων καὶ συμφωνούντων τοῦ συγγραφο φ ύλ ακος Ἡλιοδώρου λογευτοῦ καὶ μα ρ τύρων τοῦ δεῖνος καὶ τοῦ δεῖνος καὶ τοῦ δεῖνος ἐπρίατο Ἀντ ί γο νο ς οδισιο ενην σ ης δ η τ",,False
p.dura.150,30510,30510,p.dura;;150,p.dura.150,III spc,,Dura,grc,σω ειων ω υ λι ρμ η λο σπ δ,,False
p.dura.16,25137,25137,p.dura;;16,p.dura.16,I spc,,Dura,grc,"η ιλαι β ωμολογ ήσατο Ἐ π ίνικο ς Διο ἐπὶ τοῦ δεῖνος στρατηγοῦ καὶ ἐπισ τάτου τῆς πόλεως καὶ τ ῶν ὑπογεγραμμένων μαρτύρων· τάδε διέθετο ὁ δεῖνα· εἴ η μέν μοι ὑγιαίνοντ ι τῶν ἐμαυτοῦ κύριον εἶναι, ἐὰν δὲ τελευτήσω, καταλείψω τή ν μου οἴκησιν ἣν ἔλα χ ον ἐκ διακληρώσεως σὺν εἰσόδωι καὶ ἐξόδ ωι καὶ τοῖς ἄλλοις το ῖς συγκύρουσι καὶ καθήκουσι πᾶσιν καὶ σ γαλαι θ σὺν θυρώμασ ι καὶ πλινθείωι προ σεφών η σεν τ ῷ Καλ λ ιστράτωι θ",,False
p.dura.17,17215,17215,p.dura;;17,p.dura.17,ca. AD 180,180.0,Dura,grc,"ἐξέστη Σαμμώνης τοῦ δεῖνος, τῶν ὑπαρχουσῶν αὐτῶι χωρ ῶν τῶν οὐσῶν ἐν Τετύρ ωι κώμηι, ἀντὶ δανείου ἀργυρίου καλοῦ δραχμῶν δισχιλίων , ἃς ἔφη Σαμμώνης ὁ αὐτ ὸς ἔχειν παρὰ Ἀβ δα λλάθου τοῦ Βα ἐπὶ ὑποθήκηι τῶ ν προδιασαφουμένων χωρῶν πα σῶν ων καὶ μὴ ἐμποιεῖσθαι μηδε νὸς χω ρῶν καὶ τῶν ἐνόντων ἀ μ π έ λων τρόπωι μηδενὶ μηδὲ παρευρέσει μηδεμιᾶ ι , ἐὰ ν δὲ μή, εἶναι τὴν ἐμποίησιν ἄκυρον α ὐτὸν δὲ Σαμμώνην ἢ τὸν παρὰ τ αῦτ α ἀγηγοχότα ἔνοχον εἶναι ἀργυρίου καλ οῦ δραχμὰς δισχιλίας καὶ τὴν ἔκ σ τ α σιν τα ύ την εἶναι καὶ οὕτως κυρίαν. μάρτυρες· Ἡλιόδωρος στρατ ηγ ὸς καὶ ἐπι στάτης τῆς πόλεως Κόνων Νικοστράτου. η ι ἔδωκεν ὁ δεῖνα Σελεύκου τοῦ Θεομνήστου Εὐρωπαῖος ὁ ἐ π ικαλούμενος καὶ τῶν σωματοφυ λάκων Ἀμαθιάραι τῆ ι θυγ ατ ρὶ αὐτοῦ, Ἀρτ ε μιδώρου δὲ τοῦ δεῖνος Εὐρωπαίου γυναικί, ἀνθʼ ὧν ἔφη εὐχρηστηθῆναι αὐτὸν ὑ π ʼ αὐτῆς ἐν πλείοσιν, σώματα αὐτοῦ δουλ ικὰ οἷς ὀνόματα ὡς ἐτ ῶν δε καδύο , καὶ Βαρβαιζαβαδ ά τ η ἐφʼ ὧι διαμενεῖ τὰ δεδομένα κυρίως εἰς ἅπαντα τὸν χρόνον Ἀμαθιάραι καὶ τέκν ο ις αὐτῆς καὶ ἀπογόνοις καὶ τ ο ῖς μεταληψομένοις παρʼ αὐτῶν, καὶ οὐκ ἀθετήσει ὁ δεῖνα τὴν δόσιν ταύτην, ἐὰν δὲ ἀθετήσηι αὐτὸς ἢ ἕτερος ἐκ τοῦ αὐτοῦ λόγου, ἡ μὲν ἀθέτησις ἔσται ἄκυρος, ὁ δὲ δεῖνα ἢ ὁ παρὰ ταῦτα ἀγηγοχὼς ἔνοχος ἔσται τοῖς διηγορευ μένοις ἐπιτίμοις κατὰ τῶν τὰς δόσει ς ἀνασκευαζόντων καὶ ἡ δόσις αὕτη ἔσται καὶ οὕτως κυρία. μάρτυρες· χρεοφύλακε ς , Ὄλυπμος Λυσίου, Ἀρτεμίδω ρος Θεοδώρου κ α τ Κόνων τοῦ δεῖνος Εὐρωπαῖος, φάμενος ρ α δεδανεικέναι κατὰ μ έρος κατὰ συγγραφὴν δανείου γενομένην Ἀριαβάζωι Ἀρι α βάζου, Ἀβιδγιναίωι Β δωι ου, Ὀρτονο πάτηι ου, Ζωβαίωι ου, Μοκείμῳ Ναβου ἐπὶ ὑποθήκηι τοῖς ὑπάρχου σ ιν αὐτοῖς πᾶσιν, οὖσι δὲ π α ρὰ τοῖς κυρίοις, τὸ δὲ προγεγραμμένον ἀργύριον καὶ τοὺς τόκους ἀποδώσειν σ ον, ἐὰν δὲ μὴ ἀποδῶσιν ἐ ν τ ῶ ι ὡ ρισμένωι χρόνωι, διασ τολαῖς, περὶ ὧν καὶ προσαγγελία ν ἐπιδέδωκεν ὁ Κόνων καὶ περὶ τούτων ἐδέξατο ἀπʼ αὐτῶν μαρτυρία ν , ἔτι δὲ καὶ περὶ ἑτέρων τινῶν διὰ τῶ ν αὐτῶν χρεοφυλάκων ἐπιδέδωκεν ἄλλην προσαγγελίαν καὶ ἐδέξατο μαρτυρήσαντο ς τοῦ Ἡλιοδώρου κατὰ τὴν αὐτὴν μαρτυρί αν ὅτι ἦσαν οἱ δεδανεισμένοι Ἀριάβαζος Ἀβιδγιναῖος δος Ὀρτονοπάτης Μόκειμος κ α ὶ Ζωβαῖος οἱ ἐπάνω ὄντες Εὐρωπαῖ ο ι κατὰ τὴν προδηλουμένην συγγραφὴν ἐξωμολ ογήσατο Κόνων ὁ αὐτὸς ἀπέχειν παρ ὰ τῶν προγεγραμμένων Ἀριαβάζου Ἀβιδγιναίου δου Ὀρτονοπάτου Ζωβαίου καὶ Μοκείμου ι καὶ εἰς τὸν ἅπαντα χρόνον μήτε ἐνκαλεῖν μήτε ἐνκ α λέσειν τοῖς περὶ τὸν Ἀριάβαζον πᾶσι μηδ ὲ περὶ τῶν ἐν τῆι προσαγγελί α ι τῆι προδηλουμένῃ ἐπιδοθείσῃ κα ὶ ἐὰν δὲ ἐνκαλέσηι αὐτὸς ἢ ἕτερο ς ἐκ τοῦ αὐτοῦ λόγου, τὸ μὲν ἔνκλημα εἶναι ἄκυρον καὶ ἐκτείσειν τοῖς περὶ τὸ ν Ἀριάβαζον καὶ τοῖς τῶν μετηλλ αχότων μετηλλ αγμένων τέκνοις καὶ ἀπογόνοις καὶ τοῖς μεταληψομένοις παρʼ αὐτῶν δεδω κ έναι δὲ τὸν Κόνωνα τοῖς περὶ τ ὸ ν Ἀριάβαζον ἐπίλυσιν δανείου καὶ ἄφεσιν μάρτυρες· Ἡλιόδωρος στρατηγὸς καὶ ἐ πιστάτης τῆς πόλεως, Ὀρτονοπ άτης Κόνων ὁ ἐπάνω ἐχ ρημάτισα. ἐδάνεισεν αζος τοῦ δεῖνος τοῦ αμήλου τῶν ἀπὸ Λακείτης κώ μ ης τῶι δεῖνι ἀργυρίου καλοῦ Τυρίου κό μματος δραχμὰς ἑπτακοσίας ὀ γδοήκοντα α ς ἐπὶ ὑποθήκῃ τοῖς ὑπάρχουσ ιν αὐτῶι πᾶσι, οὖσι δὲ παρὰ τῶι κυρίωι ἀ π ὸ τοῦ ἐνεστῶτος χρόνου παρ έξεται αὐτῶι δουλικὰς χρείας, οὐ γιγνόμενος ἀφήμε ρος οὔτε ἀπόκοιτος ἄνευ τῆς τοῦ άζου γνώμης, ἐὰν δὲ ἀφημ ερεύσηι ἢ ἀποκοιτήσηι",,False
