doc_id,hgv_id,tm_id,ddb_hybrid,filename,date_text,date_year_approx,provenance,language,transcription_text,translation_text,has_translation
p.mich.1.120,2018,2018,p.mich;1;120,p.mich.1.120,III sac,,Philadelphia,grc,Φαῶφι ιϛ . ἔχομεν παρὰ Περδίκκου λίνον στυππέιν ο ν στυππυιν ο ν στυππυιναν πεπλυμένον ἀν ὰ πήχεις ρ δ α ὧν ὁλκὴ μν αῖ μ 𐅵 καὶ ἕτερον ὁλκὴ μν αῖ λε γίνεται τά λαντον α μν αῖ ι ε 𐅵,,False
p.mich.1.13,1918,1918,p.mich;1;13,p.mich.1.13,257 BC,-257.0,Philadelphia,grc,"Ἀπολλωνίδης Ζήνωνι χαίρειν. εὖ ἂν ἔχοι εἰ ἔρρωται Ἀπ ολλ ώνιός τε καὶ σὺ ἔ ρρω σαι· ὑγιαίνομεν δὲ καὶ ἡμεῖς. ἐκομισάμην παρʼ Ἰατροκλείους ἐρίων ὁλκὴν τάλαντα β . γράψ ον οὖν οὖμ μοι εἰ τεσσαρακοντ αμναῖα γ ἢ ταλαντιεῖα γένηται δύο στρώματα, ἢ ταλαντιεῖον ποιῶμεν καὶ τὸ τάλαντον τὸ ἄλλο φυλάττω μεν ἕως ἂν ὑμεῖς παραγένησθε · καὶ τὴν ταχίστην τοῦτο ποίησον. γράψον δὲ καὶ πότε ὑ πο δεχώμεθα Ἀπολλώνιον, ἵνα κατὰ καιρὸν παρα σκευασθῆι αὐτῶι ἡ οἴκησις. ἔρ ρωσο. ἔτους κη , Φαμενὼ θ . Ἀπολλωνίδης ἀντιγραφεὺς Ζήνωνι περὶ ἐρίων τῶν παρὰ Ἰατροκλέους τάλαντα β . ἔτους κθ , Ξανδικοῦ β , ἐν ἐμ Μέμφει.",,False
p.mich.1.14,1919,1919,p.mich;1;14,p.mich.1.14,257 BC,-257.0,Philadelphia,grc,"Νίκων Ζήνωνι χαίρειν. γεγράφαμεν Ἀρτεμιδώρωι τῶι ἐλεάτρωι τὴν τιμὴν τῶν ἀβακίων ἀβακείων , ὧν παρεθέμεθ α παρʼ αὐτῶι, ἀποδοῦναί σοι, εἰ δὲ μὴ πεπράκαμεν, αὐτὰ τὰ τὰ ἀβάκια ἀβάκεια . ἐὰν οὖν κομίσηι, ἀπόστειλο ν ἡμῖν, ἐὰν μή σοι ἦι χρήσιμα. ἔρρωσο. Νίκων περὶ τιμῆς ἀβακίων ἀβακείων , Ζήνωνι. κομίσασθαι παρὰ Ἀρτεμιδώρου. ἔτους κθ , Ξανδικοῦ κη , ἐν Ἀλεξ ανδρείαι .",,False
p.mich.1.15,1920,1920,p.mich;1;15,p.mich.1.15,257 BC,-257.0,Philadelphia,grc,"Χαρμ ύλος Ἀπολλωνίωι χαίρειν . ἀπέσταλκά σοι κα ρυῶν πε ντακισχίλια . κ αλ ῶς οὖν ποιήσεις συντάξας τινὶ δέξασθαι παρὰ τοῦ δεῖνα τοῦ παρʼ ἡμῶν. ἔρρωσο. ἔτους κθ , Φαρμοῦθι ια Χαρμύλος περὶ κα ρ υῶν ἔτους κθ , Ἀρτεμισίου α",,False
p.mich.1.16,1921,1921,p.mich;1;16,p.mich.1.16,257 BC,-257.0,Philadelphia,grc,"Νίκων Ζήν ωνι χαίρειν. τῶν κριῶν τῶν δύο ὧν ἀπέλιπες εἰς στημόνια στημνια τὰ κώιδια α ἰτε ῖ Βία. γράψον οὖν ἡμῖν εἰ δεῖ δοθῆναι. ἔφη γὰρ χρείαν ἔχειν ἐρίων στημονίων στημνίων καὶ διὰ τοῦτο καθυστερεῖ ν . ἐγὼ δὲ καὶ πρότερόν σοι ἐγεγράφειν περὶ τούτων. ἔρρωσο. ἔτους κθ , Φαρμοῦθι κε . Νίκ ω ν β κωιδίων, εἰ δεῖ Ζήνωνι. κω ιδίων δο θῆ ναι Βίαι. ἔτους κθ , Δαισίου ια .",,False
p.mich.1.17,1922,1922,p.mich;1;17,p.mich.1.17,257 BC,-257.0,Philadelphia,grc,"ὁ δεῖνα Ζήνωνι χαίρειν. τῶν τε τ τάρων αὐλαιῶν τῶν ἐγδο θεισῶν εἰσιν συντετελ ε σμέναι γ λιταί, αἱ μὲν δύο πήχεων , πλάτ ος δ , ἡ δὲ τρίτη πήχεων ξα , πλάτος κατάξομεν δὲ αὐτὰ ς ἐν τῶι ἡμετέρωι Κασιωτικῶι. τὴν δὲ τιμὴν αὐτῶν διάγραψον εἰς τὸ βασιλικόν· οὕτως γάρ φασιν δεῖν οἰκονομήσασθαι. ἐξεδό θ ησαν δὲ ἐνταῦθα ἀν ὰ δραχμὰς π πρόσ εχε οὖν τούτοις ὡς ἂν εὐκαιρ ῆ ις, ἵνα μή μου ὀλιγωρίαν κατα γινώσκηι ἔρρωσο. ἔτους κθ , Παχὼνς ιγ .",,False
p.mich.1.18,1867,1867,p.mich;1;18,p.mich.1.18,257 BC,-257.0,Philadelphia,grc,,,False
p.mich.1.19,735,735,p.mich;1;19,p.mich.1.19,257 BC,-257.0,Philadelphia,grc,,,False
p.mich.1.2,1908,1908,p.mich;1;2,p.mich.1.2,ca. 259 BC,-259.0,Philadelphia,grc,συμπορευόμενοι καὶ χρείαν ἔχηι ἔχει καὶ πλειόνων ἀλεύρων συνθεῖναι αὐτῶι αὐτῶ χόνδρου ἀρ τάβας ε διάλιπε τιμήν οἴνου ξενικοῦ ἃ δεήσει ἐκ Πη λουσίου ἀγορασθέντα δοῦναι κερ άμια ι ἐπιχωρίου τοῦ ἐκ τοῦ Ἡλιοπολίτου προσενεγκεῖν ἐνταῦθα κερ άμια ι μέλιτος ἡμικάδιον ἀν ὰ δραχμὰς γ ὀβολοὺς γ ἔλαιον τὸ ἱκανόν ὄξους κερ άμιον α δραχμὰς β ἐλαίας ἐλάας τάριχον παντοδαπὸν καὶ θρίσσαν ἐὰν ὦσιν ἐρε γ μόν ἐρεπμ ό ν φακῶν τὰ συντεθέν τα συνθεθέν τα τῶι δεῖνα . ὅτʼ ἐξεπ εἰς Συρίαν,,False
p.mich.1.20,738,738,p.mich;1;20,p.mich.1.20,257 BC,-257.0,Philadelphia,grc,,,False
