doc_id,hgv_id,tm_id,ddb_hybrid,filename,date_text,date_year_approx,provenance,language,transcription_text,translation_text,has_translation
p.ness.3.114,37400,37400,p.ness;3;114,p.ness.3.114,VI spc,,Nessana,grc,α ισουοπρ πρὸς τὰ προγεγρα μμένα τόκον τώκον νόμισμ α ὑπ εθέμ η ν Ἀ βρααμίου Ἰ ω ά νν,,False
p.ness.3.115,37401,37401,p.ness;3;115,p.ness.3.115,VI spc,,Nessana,grc,"Α μαθαλλαν τ ὴ ν θυγατέρα μου καὶ ἀπήλλαχ εν ἔτ ι βούλο μ αι καὶ κ ε λ εύω κλ ηρονομεῖσθαι τὰ δύο λογεῖα τὰ ἐν τῷ ἀ λλ τοὺς ἐμοὺς κληρονόμου ς εἰ δέ, ὅπερ ἀπείῃ ἀπίῃ , συμβῇ τοὺς δύ ο παῖδας τε λ ευτῆσαι τε λ ευτᾶν κληρονομεῖσθαι κληρονομῖσθαι αὐτοῦς ὑπὸ τ ῆς ω νιη σ σα χης. εἰ δὲ καὶ συμβῇ, ὅπερ ἀπεύχο μ αι",,False
p.ness.3.116,37402,37402,p.ness;3;116,p.ness.3.116,VI spc,,Nessana,grc,Ἀ βρααμίου αμα τοῦ καθ ωσιωμένου Αλμ καταλειφθέντων κ α ταλ ι φθέντων μ ητρόων καὶ νομίμ ων καὶ τῶν ἐ μ ῶν ὑπαρχόν των,,False
p.ness.3.117,37403,37403,p.ness;3;117,p.ness.3.117,VI-VII spc,,Nessana,grc,τ ῶ ν δ οθέντων κ α ὶ ασ ς π α ρα σκ ευάσω τοῦς προ γ εγραμμέ ν ους κληρ ονόμοις μοι καὶ διαδόχοις κ ομα μμ εθε τ ὰ προγεγραμ μ ένα,,False
p.ness.3.118,37404,37404,p.ness;3;118,p.ness.3.118,VI spc,,Nessana,grc,κληρονόμ ων αὐτοῦ καὶ διαδόχων τελ ε υτησάντων ων χρυσίνου νομίμου ἥμ ι συ ἀποδο ὺ ς ωλω σκ ὑποθ ήκης καὶ δικαί ῳ,,False
p.ness.3.119,37405,37405,p.ness;3;119,p.ness.3.119,VI spc,,Nessana,grc,καλανδῶν Τῦβι πέμπτῃ ὑπατείᾳ Φλ αουίου,,False
p.ness.3.120,37406,37406,p.ness;3;120,p.ness.3.120,VI-VII spc,,Nessana,grc,πιστοῦ ἐν Χ ριστ ῷ ἡμέρ ου μεγί στου εὐ ε ργέτου ὁμολ ογή σαντο σ ος Στεφάνου ἔγραψεν ἐπιδοῦναι,,False
p.ness.3.121,37407,37407,p.ness;3;121,p.ness.3.121,VI spc,,Nessana,grc,"την τ ληπτος καὶ φαις α λα φ δύναμιν δοίναμιν , ἅτινα καὶ πληρώσω μη ν ὶ μ αι καθ ὼς προγέγραπται πρωγαιγραπτη , καὶ ἐξωμ ὑ πεθέμεθα ὑ παιθέμαιθα πάντα ἡμῶν τ ὰ πράγ ματα πε ως καὶ ἀπελύσαμεν ἀπαιλ ο ίσαμην Φλ αούιος Ἀ θαν άσιο ς ἔγραψα ἐκγραψα ὑ πὲρ α μ α ου κα",,False
p.ness.3.122,37408,37408,p.ness;3;122,p.ness.3.122,VI spc,,Nessana,grc,"αν δύναμιν, ἅτινα καὶ πληρώ σω ἐμαῖς vestiges τα ἀκολούθως ἀκολούθος . Φλ άουιος Ἀ λεξ α μ ε α λεχου Α β δαλγου α ε ανα",,False
p.ness.3.123,37409,37409,p.ness;3;123,p.ness.3.123,VI spc,,Nessana,grc,τοῦ Βίκτωρος ἡμισοι κ αὶ τοῦ εκ πᾶς τ ουτο μο υ ὑπάρχ ο ντα καὶ ὑπάρξοντα ἐπερωτηθεὶς ἐπ ερ ωτε θ ὶς ὁμολ όγησα ἔγραψ α ὑπὲρ α ὐ τ οῦ ἐπὶ ἐ μοῦ Φλ αουίου ἐπέτρεψεν Φλ άουιος Δορόθεος Στ εφά ν ο υ τῷ ὑπογράψαι ὑπὲρ αὐτοῦ καὶ ἀπέλυ σην καὶ μαρτυρῶ ἐπὶ ἐμοῦ ἐπέτρεψεν Φλ άουιος Δορόθεος Σ τεφάνου τῷ ὑπογράψαι ὑπὲρ αὐτοῦ καὶ ἀ π έλυσεν καὶ μαρτυρῶ ἐπὶ ἐμοῦ ἐπέτρε ψ εν Φλ άουιος Δ ο ρόθεος Στεφάνου τῷ δεῖνα ὑπογράψαι,,False
p.ness.3.124,37410,37410,p.ness;3;124,p.ness.3.124,VI-VII spc,,Nessana,grc,κληρο νόμους ἢ διαδόχ ους διαδώ χ ους χειρὶ ἐμοῦ Ἰωάν νου,,False
p.ness.3.125,37411,37411,p.ness;3;125,p.ness.3.125,VI-VII spc,,Nessana,grc,ἀπέλυσ εν καὶ μαρτυρῶ ἀπέλ υσεν καὶ κὲ μαρτυρῶ μαρτοιρῶ ἀπέλυσε ν καὶ μαρτυρῶ,,False
p.ness.3.126,37412,37412,p.ness;3;126,p.ness.3.126,VI spc,,Nessana,grc,γράψαντος δ ιʼ ἐμ οῦ ἐγ ρ άφη ε Αββα Εγευ γω επ,,False
p.ness.3.127,37413,37413,p.ness;3;127,p.ness.3.127,VI spc,,Nessana,grc,Φλ Γεώρ γ ιος Φλ Ἀβραμ,,False
p.ness.3.128,37414,37414,p.ness;3;128,p.ness.3.128,VI spc,,Nessana,grc,Φλ Φω κ γενομένου,,False
p.ness.3.129,37415,37415,p.ness;3;129,p.ness.3.129,VI-VII spc,,Nessana,grc,ὁμολογίαν τῷ πριμ ιπιλαρίῳ,,False
p.ness.3.130,37416,37416,p.ness;3;130,p.ness.3.130,VI-VII spc,,Nessana,grc,το κοσιων αντιας ἐπιχ τ ευρομ το αντ ενον εξ χρυσ ι πέντε φ τῶν χρυσί ων πέντε προ δε τῶν εὑρεθέ ντων εὑρη θέ ντων δ υ λ ω εἴκοσι ὀκτὼ κ ἢ ἕξειν μὴ εμ με σ τ ε,,False
p.ness.3.131,37417,37417,p.ness;3;131,p.ness.3.131,VI-VII spc,,Nessana,grc,συντελήσει συντελήσι ὑ πὲρ τῶν αὐτ ῶ ν ἀ σ φάλει αν δὲ ἀπὸ τῆσδε μουτων θυγατέρα θυγ α τέραν αὐτο ῦ,,False
p.ness.3.132,37418,37418,p.ness;3;132,p.ness.3.132,VI spc,,Nessana,grc,vestiges μ ογιδος καὶ Ἰάλ ητος ἀποστασίαν ὡμο λ ογησα γ ραφεῖσα ἐγὼ κ,,False
p.ness.3.133,37419,37419,p.ness;3;133,p.ness.3.133,VI spc,,Nessana,grc,"τικον τῷ καθ ωσιωμένῳ Κύρ ῳ Ἀβρ ααμίου ὁμοῦ Σεργίου ἀν εψι οῦ στ αφ α λανκακρε ο η νο μίσματα κ νια ν εας χόρτου φορ ὰ α ω δελφ ακίου λ ίτραι ιε ὄρνιθες ὀρνις δύο , κριθ ῆς η",,False
p.ness.3.134,37420,37420,p.ness;3;134,p.ness.3.134,VI spc,,Nessana,grc,ο υ ἀνεψιο ῦ κα ὶ ἵνα εἵνα β αστάξουσιν τ ου τὸν θεῖών μου καὶ τὸν βικέριων καὶ π ρὸς σ ιων Σέργιν καὶ τοπω τ ωπω ποιήση ποιήσι μ καὶ δωσα,,False
p.ness.3.135,37421,37421,p.ness;3;135,p.ness.3.135,VI spc,,Nessana,grc,λόγ ος δεκανία ς πα ρὰ Στεφ ά ν ο υ Οὐά λεντος Ἰω άννης Ουαλ ι ου Β αδανο ς Σαδου Σέργ ιος,,False
p.ness.3.136,37422,37422,p.ness;3;136,p.ness.3.136,VI spc,,Nessana,grc,Στέφα ν ος ἐν τῷ Στέφ α ν ος νο υ Αλοβαι ν ος Ζη ν οβίο υ ὑπὲρ Στεφάνου Στέφανος Αλαφαλλου Ἀμμωνι ανὸς Ἰ άλ ητος ονι α,,False
p.ness.3.137,37423,37423,p.ness;3;137,p.ness.3.137,VI spc,,Nessana,grc,τοῦ υ ἱ οῦ Μαρκης εἰς ἀνάλωμα,,False
p.ness.3.138,39310,39310,p.ness;3;138,p.ness.3.138,VII spc,,Nessana,grc,vestiges,,False
p.ness.3.139,37424,37424,p.ness;3;139,p.ness.3.139,VI spc,,Nessana,grc,Ἀβρα άμιος Στέφανος Αμρος Στε φαν το,,False
p.ness.3.14,21460,21460,p.ness;3;14,p.ness.3.14,AD-505,505.0,Nessana,grc,λαμπροτ ά του ἔτους τῆς πόλεως τριακοσι ο στοῦ ἐνενηκοστοῦ μηνὸς τ ο τη ἐν Ἐλούσῃ πό λ ει Ἀβ ρ αάμιος Α ω,,False
p.ness.3.140,37425,37425,p.ness;3;140,p.ness.3.140,VI spc,,Nessana,grc,φκγ ἔτι λιπτὰ τυρ νο μίσματα τ γ γ ἔτι φυ,,False
p.ness.3.141,37426,37426,p.ness;3;141,p.ness.3.141,VI spc,,Nessana,grc,τῷ κάστρῳ Νεσσάνων,,False
p.ness.3.142,37427,37427,p.ness;3;142,p.ness.3.142,VI spc,,Nessana,grc,Ἀ β ραάμιος Μηνᾶ στρ ατιώτης,,False
p.ness.3.143,37428,37428,p.ness;3;143,p.ness.3.143,VI spc,,Nessana,grc,Α ββος Θωάμ ο υ,,False
p.ness.3.145,37430,37430,p.ness;3;145,p.ness.3.145,VI-VII spc,,Nessana,grc,γραμμάτων γραμάτον παρόντων μου γράφω κ αὶ π ρ ο σκυ νῶ τὴ ν νουραν τὴν θεῖάν θῖάν μου Μαρίαν καὶ πάντ α ς τοὺς δι αφέρ ον τας μ ε γάλου καὶ ὅλον ὥλον τὸ χωρίον χορήον . ἔπειτα αἴπιτα διὰ τῆς τῖς θεοῦ χάριτ ος καὶ τοῦ ἁγίου Σεργίου καὶ Βάχχου καλῶς καλο͂ς ἔχ ουσιν ιεναι ος πλιρονο τὰ γράμματα γράματα . ἔπειτα ἔπιτα ζητήσατε ζητίσατε πέμψειν πέμσειν ἡμῖν ωλ υν ολαχαν καὶ ἕψημα αἵψιμα καὶ οἰνάριν καὶ δε η καὶ ηρι σου ἐν ὀν όματι ὀν όματη τοῦ καὶ δεσπότου Εἰσοῦ Χριστοῦ Χρηστ οῦ ἐν ὀ νό ματι τοῦ κυ ρίου καὶ δεσπότου Εἰ σ οῦ Χ ριστοῦ καλῶς καλο͂ς ἔχομεν καὶ τη ενομ ει διὰ τῆς τῖς τοῦ θεοῦ χάριτος κα ὶ δεσπότου Εἰσοῦ vestiges κυρ ί ου καὶ δεσπό τ ου Εἰ σ οῦ Χριστοῦ Χρηστοῦ τοῦ θεοῦ ἐν ὀνόματι τοῦ κυρ θεός Εἰσοῦ Χριστοῦ Χρηστοῦ τ οῦ θεοῦ κυρίου καὶ δεσπότου Ε ἰσοῦ,,False
p.ness.3.146,37431,37431,p.ness;3;146,p.ness.3.146,VI-VII spc,,Nessana,grc,"ε διὰ τὸ γιγνώσκειν γινοσκειν σε, κ ύ ρι ε Γεώργι ε , ὅτι ἐμοῦ εἰσελθό ν τος ἰσελθοτος εἰς ἰς κ εσο τὸν Σέρ γ ιον τὸν Ἀμμόνιον ὄτι ἀπεστείλαντο ἀπε στελαισαντο ἐργάτ ας ειλα θεν τις αρ ω θας ἐχθρὸς τοῦ θεοῦ ι ον τον α σι αλεν αὐτοῦ αλο ν σου καὶ ἔπεισθεν π υ ρ α καὶ ευρει τέ σσερας εἰς ἰς το ει κο χάλκωμα λίτρας τετρακ οσίας καὶ σ ορασ κ εσφ μέγαν ὅτι νκισι ν τι εν λί τρα ς α ρ ο ο ε σ κ λο για σ τατ φ κιντ θ εοφιλ εσ τ άτῳ λκ το καὶ ἐλλογιμοτ άτῳ ἐλ λογημοτ κυρ ί ῳ Γεωργ ίῳ ε ς Γεωργίου Ουαξης σα ω δετοσ ν",,False
p.ness.3.147,39311,39311,p.ness;3;147,p.ness.3.147,VII spc,,Nessana,grc,Πατρίκιος Σεργίου ἡ γ ού μ ενος καὶ ἀναγνώστης τοῦ ἁγίου καὶ ἐνδοξοτάτου μάρτυρος Σεργ ίου καὶ Βάχχου κυρ ικ οῦ αει ε ι ω ἐ γράφη χειρί χιρί μου παντὶ εἴδει καὶ γένει,,False
p.ness.3.148,39312,39312,p.ness;3;148,p.ness.3.148,VII spc,,Nessana,grc,"διὰ τῶν ἐλαχίστων μου γραμμάτων γραμάτω ν γράφω προσκυ νῶν τὰ ἴχνια μακαριώτατα μα κ αρι ώ τετα . ἐπειτα ἐπιτα ε ὖ ἰδὲ δέσποτα θέλ ω ε ν ε κε ν εσε τὸν σκεπῶντα σκεπο͂ντα δὲ τὸν ἅγιον, παρακαλῶ σ ε ἐπειδὴ ἐπιδὲ ἔχω ἐχο μετʼ ἐμ οῦ τὴν δούλην δούλεν σου ι πρ κυρ καπ εγ αλ μεγαλ επρι μακαρ ω τ πάσ ης κ αὶ Σέ ργιος χυναου",,False
p.ness.3.149,37432,37432,p.ness;3;149,p.ness.3.149,VI-VII spc,,Nessana,grc,πρὸ μὲν μὴν πάντων ἐπειδὴ ἀπέστειλές ἀπ έστιλές μοι μο ϊ τὸ τω λογάριν λω γάρ ι ν Ἱλαρίωνος Π α τ ρικ ίου,,False
p.ness.3.15,21461,21461,p.ness;3;15,p.ness.3.15,AD 512,512.0,Nessana<Rhinocorura,grc,"ὑπατείας Φλ αουίων Σεκουντίν ου κα ὶ Φ ή λ ικ ος τῶν μεγαλοπρε πεστάτων μηνὶ Παῦνι ε τῆς π έ μ π τ ης ἰνδικτίονος ἐν τῇ Ῥι ν οκορουριτῶν πόλ ει . τόδε τ ὸ ἔνγραφον ἀσφαλὲς πεποίηται πεπόηται ἑκουσίᾳ ἑκ ο υσείᾳ προθέσει π ρ οθ έσι ἀνάγκης ἐκ τός. Φλ άουιος Στέφανος Ἀβρααμίου στρ ατιώτη ς ἀριθμοῦ τῶν καθοσιωμ ένων Θεοδοσ ια κῶν Φ λ αουίῳ Αυσῳ Ἀβρααμίου ὁμ ογνησ ίῳ αὐτοῦ ἀδελφῷ καὶ αὐτῷ στρατιώτῃ τοῦ εἰρημένου ἀριθμοῦ ὁρμώμενοι ἀπ ὸ κώμης Νεσσάνων ἐκ πολλοῦ χ ρόνου ἀμφότεροι τ ανῦν ἐνταῦθα ἐπὶ τῆς Ῥινοκορουριτῶν ἔχ ο ντες χ αίρ ει ν. ὁμολογῶ τῇ σήμερο ν διὰ τοῦδέ μου τοῦ ἐνγράφου μηδένα λόγον μʼ ἔχειν μὴ ἐμὲ μὴ ἄλλο ν τ ιν ὰ ἐκ προσώπου μου μὴ κληρονό μους κληρονο μοι μου ἢ διαδόχους διαδοχοι μὴ πρ ὸς σὲ τὸν μείζονά μί ζονά μου ὁμογνήσιον ἀδελφὸν Αυσον μὴ πρὸς ἄλλον τινὰ ἐκ προσώπου σου μὴ πρὸς κληρονόμους σοὺς ἢ δ ια δόχο υ ς ἢ δ ια κ ατό χους περὶ τῆς λιθίν ης ν τεσ ας π ροφ άσ ει ς σοι α ει ἰδίων σου ανν καὶ μ σ υνθ πρεσ ιπρο ων μεγ α λ ἡμῶν μη δα ν ιν προς ους ὅ λ ου ς διατ εἴρηται ἰ δ ίων σου ἀνν ωνῶν ταύτην ηγορα σ ασ α καὶ ὀμνύω θεὸν παν το κράτορα καὶ νίκην καὶ εὐσέβ ει αν τ οῦ δ ε σπότου ἡμῶν Φλ αουίου Ἀναστασίου το ῦ α ἰω νίου. κατὰ μὲν τὰ προ γεγραμμένα πάντα ἐπε ρ ωτηθεὶς ἐ γὼ ὁ Σ τέφ α νος εἰς πρόσωπόν σοι τῷ ὁμογνησ ί ῳ μου ἀδελφ ῷ Αυσῳ ὡμο λό γ η σα κύ ρ ια καὶ βέβαια εἶναι πάντα τὰ προγεγραμμένα. τὸ δὲ ἔνγραφον τοῦτο κύριον ἔστω καὶ ἔννομον ὅπου προφ ε ρόμενον Φλ άουιος Στέφανος Ἀβρα αμί ου σ τρατ ιώτης ὁ π ροκίμενος πεποίημαι πεποίεμε τόδ ε ἔν γ ραφον ἀ σφαλὲς εἰς ὁμογνήσιόν ὁμογνέσιό ν μου ἀ δ ε λφὸν Αυσον καὶ ὁμολογῶ ὁμολογο μηδένα μεδένα λό γο ν με ἔχειν ἐχι πρὸ σὲ περὶ τῆς τε͂ς ἐπειρημέν ης ἐ π ειρεμέν ης πάντα ὡς ὁς πρόκειται πρόκιτε ἀκολούθως ἀκολούθος καὶ ὤμοσα ὄμοσα τὸν θεῖον θῖον ὅρ κ ον καὶ ἐπ ερωτηθεὶς ὡμολόγησα κα ὶ ἐγράφη ἐγράφ ε χειρὶ χιρὶ ἐμῇ ἐμε͂ͅ Στέφανος ἐτέλεσα ἐτέλησα ἐπλ ήρ ω σα , Α υς τ ὸ δὲ ἔνγραφον ἀσφ αλ ὲς γεγρ σὺν",,False
p.ness.3.150,39313,39313,p.ness;3;150,p.ness.3.150,VII spc,,Nessana,grc,σεσιν τοῦ κύρ ου Μην ᾶ καὶ πάντων Μη ν ᾶ τοῦ ἀ δελφοῦ Στεφάν ου ηνεσαι ὁ ὡ ἀριθμὸς καὶ ἐὰν θέλῃς θέλις ανη πρὸς ὑ μᾶς ὑπὲρ τούτου τάδε χαρτία λα διὰ τοῦ κύρ ου Πατρικίου καὶ Ἀβρααμίο υ,,False
p.ness.3.151,39314,39314,p.ness;3;151,p.ness.3.151,VII spc,,Nessana,grc,γ ιν ωσ κέτω ἡ πατρικὴ ὑμῶν θεοφιλεία ὡς πράγματα τοῦ ἀδελφοῦ μου καὶ νυκτερεύομ εν ἀπαγγ έ λλω δὲ καὶ τῷ δεσπότῃ μου τῷ θεοφιλ εστ άτῳ τη καὶ ἀσπάζομαι τὴν πατρικήν σο υ θεο φιλείαν,,False
p.ness.3.152,39315,39315,p.ness;3;152,p.ness.3.152,VII spc,,Nessana,grc,ἀλληλο ρησει γὰρ ἀπὸ τοῦ μαρ τ υρίο υ λουτο ἐσμεν μὴ ειλ ν υ κ και πρὸς ς φιλανθρωπία φιλανθρωπεία ἐξ οὗ καί ἐσμεν ϊ φιλολγφιλαγκλωλ γ αυ μ ε χ μ γ,,False
p.ness.3.153,37433,37433,p.ness;3;153,p.ness.3.153,VI-VII spc,,Nessana,grc,ὑμῖν ὑμε ῖ ν Ἀλ εξ άν δρο υ δρ ο καὶ Στεφάνου ζ ικετο τοῦ ἁγί ο υ κ νδο ρ ἁγίου καὶ ἔχει ἔχι καὶ δ ι ʼ ὑμῶν ειο ἐμοῦ Νεσάνων Αυσος να φ ρ πα ρουσία Ἀλεξάν δρο υ μ υρα α ο υ Ἰωάνο υ καὶ Σεργ ί ου vestiges,,False
p.ness.3.154,39316,39316,p.ness;3;154,p.ness.3.154,VII spc,,Nessana,grc,τετάρτου δεσπό τῃ ἡμῶ ν ἐλθεῖν ἐλθῖν γραμμάτων νομίσματα δεσπότου μόνον,,False
p.ness.3.155,39317,39317,p.ness;3;155,p.ness.3.155,VII spc,,Nessana,grc,π άντα θεοφιλ εστάτῳ,,False
p.ness.3.156,37434,37434,p.ness;3;156,p.ness.3.156,VI-VII spc,,Nessana,grc,καὶ τελειωμέν ου μυστηρίων τῇ φ ἑαυτ ο κ υρί ῳ θ εὸ ς ἡμ ῶ ν εὐχαριστία ν θ κ υρί ῳ ἡμῶν,,False
p.ness.3.157,37435,37435,p.ness;3;157,p.ness.3.157,VI-VII spc,,Nessana,grc,ἐ ργάτας σιου Μώρου πρ ο τη ε 𐅷 δ ταφαρου ξ υ τη ε 𐅷 δ νου Μώρου τρ τη κζ δ Σέρ γις Μώρου τρ τη ε 𐅷 τα φαρου τρ τη ε 𐅷 υ Μώρου τρ τη ε 𐅷,,False
p.ness.3.158,39318,39318,p.ness;3;158,p.ness.3.158,AD 642-,,Nessana,grc,ἐγὼ Σαρος λε ει γράφω σοι κυρ ί ῳ Γεωργ ίῳ ε ριου ον λ λ ν κ α ὶ νι ω κα ὶ π ως επε εν ἐκ τοῦ ἐνδοξ ο τ άτου συμ β ού λου Σ ε ε ν ε τ έ σσ αρα μιλιαρίσια μειλιαρίσια καὶ οὐ καλῶς ἔπραξες ἔπραξης κα ὶ τας καὶ πο υ κ αλὰς η δη σα εἰς ὑμᾶ ς καὶ τὰ τ ῶ ν τ ῶν δύο ἡμέ ρων τούτων καὶ δῶσι τ ῷ γραμμ α τηφόρῳ,,False
p.ness.3.159,39319,39319,p.ness;3;159,p.ness.3.159,AD 642-,,Nessana,grc,ἐ γὼ δε κ αὶ Βίκτωρ Γεωρ γ ί ου,,False
