accession_no,accounting_period,acquisition_history,alternative_years,ark_number,atf_source,atf_up,author,author_remarks,cdli_collation,cdli_comments,citation,collection,composite_id,condition_description,date_entered,date_of_origin,date_remarks,date_updated,dates_referenced,db_source,designation,dumb,dumb2,electronic_publication,elevation,excavation_no,external_id,findspot_remarks,findspot_square,genre,google_earth_collection,google_earth_provenience,height,id,id_text2,id_text,join_information,language,lineart_up,material,museum_no,object_preservation,object_type,period,period_remarks,photo_up,primary_publication,provenience,provenience_remarks,publication_date,publication_history,published_collation,seal_id,seal_information,stratigraphic_level,subgenre,subgenre_remarks,surface_preservation,text_remarks,thickness,translation_source,width,object_remarks
,,,,21198/zz001sf7k7,no atf,,"George, Andrew R., Hertel, Thomas, Llop-Raduà, Jaume, Radner, Karen & van Soldt, Wilfred H.",,,,,"Schøyen Collection, Oslo, Norway",,,12/15/2004,,,2018-10-21,,20041215 schoeyen_catalogue,"CUSAS 34, 039",,,,,,,,,Administrative,,,?,100333,0,250553,,Akkadian,,clay,MS 1892/05,,sealing,Old Assyrian (ca. 1950-1850 BC),,,"CUSAS 34, 039",uncertain (mod. uncertain),,2017,,,,,,,,,,?,no translation,?,
,,,,21198/zz001sf7mr,no atf,,"George, Andrew R., Hertel, Thomas, Llop-Raduà, Jaume, Radner, Karen & van Soldt, Wilfred H.",,,,,"Schøyen Collection, Oslo, Norway",,,12/15/2004,,,2018-10-21,,20041215 schoeyen_catalogue,"CUSAS 34, 001",,,,,,,,,Letter,,,?,100334,0,250554,,Akkadian,,clay,MS 1892/06,,tablet,Old Assyrian (ca. 1950-1850 BC),,,"CUSAS 34, 001",uncertain (mod. uncertain),,2017,,,,,,,,,,?,no translation,?,
,,,,21198/zz001sf7n8,no atf,,"George, Andrew R., Hertel, Thomas, Llop-Raduà, Jaume, Radner, Karen & van Soldt, Wilfred H.",,,,,"Schøyen Collection, Oslo, Norway",,,12/15/2004,,,2018-10-21,,20041215 schoeyen_catalogue,"CUSAS 34, 008",,,,,,,,,Letter,,,?,100335,0,250555,,Akkadian,,clay,MS 1892/07,,tablet,Old Assyrian (ca. 1950-1850 BC),,,"CUSAS 34, 008",uncertain (mod. uncertain),,2017,,,,,,,,,,?,no translation,?,
,,,,21198/zz001sf7ps,no atf,,"George, Andrew R., Hertel, Thomas, Llop-Raduà, Jaume, Radner, Karen & van Soldt, Wilfred H.",,,,,"Schøyen Collection, Oslo, Norway",,,12/15/2004,,,2018-10-21,,20041215 schoeyen_catalogue,"CUSAS 34, 010",,,,,,,,,Letter,,,?,100336,0,250556,,Akkadian,,clay,MS 1892/08,,tablet,Old Assyrian (ca. 1950-1850 BC),,,"CUSAS 34, 010",uncertain (mod. uncertain),,2017,,,,,,,,,,?,no translation,?,
,,,,21198/zz001sf7q9,no atf,,"George, Andrew R., Hertel, Thomas, Llop-Raduà, Jaume, Radner, Karen & van Soldt, Wilfred H.",,,,,"Schøyen Collection, Oslo, Norway",,,12/15/2004,,,2018-10-21,,20041215 schoeyen_catalogue,"CUSAS 34, 023",,,,,,,,,Legal,,,?,100337,0,250557,,Akkadian,,clay,MS 1892/09,,tablet,Old Assyrian (ca. 1950-1850 BC),,,"CUSAS 34, 023",uncertain (mod. uncertain),,2017,,,,,,debt,,,,?,no translation,?,
,,,,21198/zz001sf7rt,no atf,,"George, Andrew R., Hertel, Thomas, Llop-Raduà, Jaume, Radner, Karen & van Soldt, Wilfred H.",,,,,"Schøyen Collection, Oslo, Norway",,,12/15/2004,,,2018-10-21,,20041215 schoeyen_catalogue,"CUSAS 34, 030",,,,,,,,,Legal,,,?,100338,0,250558,,Akkadian,,clay,MS 1892/10,,tablet,Old Assyrian (ca. 1950-1850 BC),,,"CUSAS 34, 030",uncertain (mod. uncertain),,2017,,,,,,income,,,,?,no translation,?,
,,,,21198/zz001sf7sb,no atf,,"George, Andrew R., Hertel, Thomas, Llop-Raduà, Jaume, Radner, Karen & van Soldt, Wilfred H.",,,,,"Schøyen Collection, Oslo, Norway",,,12/15/2004,,,2018-10-21,,20041215 schoeyen_catalogue,"CUSAS 34, 031",,,,,,,,,Legal,,,?,100339,0,250559,,Akkadian,,clay,MS 1892/11,,tablet,Old Assyrian (ca. 1950-1850 BC),,,"CUSAS 34, 031",uncertain (mod. uncertain),,2017,,,,,,,,,,?,no translation,?,
,,,,21198/zz001sf7tv,no atf,,"George, Andrew R., Hertel, Thomas, Llop-Raduà, Jaume, Radner, Karen & van Soldt, Wilfred H.",,,,,"Schøyen Collection, Oslo, Norway",,,12/15/2004,,,2018-10-21,,20041215 schoeyen_catalogue,"CUSAS 34, 012",,,,,,,,,Letter,,,?,100340,0,250560,,Akkadian,,clay,MS 1892/12,,tablet,Old Assyrian (ca. 1950-1850 BC),,,"CUSAS 34, 012",uncertain (mod. uncertain),,2017,,,,,,,,,,?,no translation,?,
,,,,21198/zz001sf7vc,no atf,,"George, Andrew R., Hertel, Thomas, Llop-Raduà, Jaume, Radner, Karen & van Soldt, Wilfred H.",,,,,"Schøyen Collection, Oslo, Norway",,,12/15/2004,,,2018-10-21,,20041215 schoeyen_catalogue,"CUSAS 34, 032",,,,,,,,,Legal,,,?,100341,0,250561,,Akkadian,,clay,MS 1892/13,,tablet,Old Assyrian (ca. 1950-1850 BC),,,"CUSAS 34, 032",uncertain (mod. uncertain),,2017,,,,,,,,,,?,no translation,?,
,,,,21198/zz001sf7ww,no atf,,"George, Andrew R., Hertel, Thomas, Llop-Raduà, Jaume, Radner, Karen & van Soldt, Wilfred H.",,,,,"Schøyen Collection, Oslo, Norway",,,12/15/2004,,,2018-10-21,,20041215 schoeyen_catalogue,"CUSAS 34, 016",,,,,,,,,Letter,,,?,100342,0,250562,,Akkadian,,clay,MS 1892/14,,tablet,Old Assyrian (ca. 1950-1850 BC),,,"CUSAS 34, 016",uncertain (mod. uncertain),,2017,,,,,,,,,,?,no translation,?,
