accession_no,accounting_period,acquisition_history,alternative_years,ark_number,atf_source,atf_up,author,author_remarks,cdli_collation,cdli_comments,citation,collection,composite_id,condition_description,date_entered,date_of_origin,date_remarks,date_updated,dates_referenced,db_source,designation,dumb,dumb2,electronic_publication,elevation,excavation_no,external_id,findspot_remarks,findspot_square,genre,google_earth_collection,google_earth_provenience,height,id,id_text2,id_text,join_information,language,lineart_up,material,museum_no,object_preservation,object_type,period,period_remarks,photo_up,primary_publication,provenience,provenience_remarks,publication_date,publication_history,published_collation,seal_id,seal_information,stratigraphic_level,subgenre,subgenre_remarks,surface_preservation,text_remarks,thickness,translation_source,width,object_remarks
,,,,21198/zz001zn0d1,Old Assyrian Text Project,,"Veenhof, Klaas R. & Klengel-Brandt, E.",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,8/22/2006,,,2018-10-21,,20070209 dahl,"VS 26, 058",,,,,,,,,,,,,171279,0,333882,,,150ppi 20160630,clay,VAT 09212,,tablet,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,"VS 26, 058",Kanesh (mod. Kültepe),,1992,"Michel, LAPO 19, 137",,,,,,,,,,no translation,,
,,,,21198/zz001zctb0,Old Assyrian Text Project,,"Veenhof, Klaas R. & Klengel-Brandt, E.",,,"20091124 oatp: obv. 6: followed by erasure; e. 3: Michel, BO 52, 723: I3-li2-dan?",,"Vorderasiatisches Museum, Berlin, Germany",,,8/22/2006,,,2018-10-21,,20070209 dahl,"VS 26, 011",,,,,,,,,,,,,171280,0,333883,,,150ppi 20160630,clay,VAT 09213,,tablet,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,"VS 26, 011",Kanesh (mod. Kültepe),,1992,"Michel, LAPO 19, 114",,,,,,,,,,no translation,,
,,,,21198/zz001zctch,Old Assyrian Text Project,,"Veenhof, Klaas R. & Klengel-Brandt, E.",,,20091124 oatp: obv. 3: followed by erasure; rev. 8: VS 26: 11 ma-na,,"Vorderasiatisches Museum, Berlin, Germany",,,8/22/2006,,,2018-10-21,,20070209 dahl,"VS 26, 154",,,,,,,,,,,,,171281,0,333884,,,150ppi 20160630,clay,VAT 09214,,tablet,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,"VS 26, 154",Kanesh (mod. Kültepe),,1992,,,,,,,,,,,no translation,,
,,,,21198/zz001zctd1,Old Assyrian Text Project,,"Veenhof, Klaas R. & Klengel-Brandt, E.",,,"20091124 oatp: 33-35: Bayram, aran37f.",,"Vorderasiatisches Museum, Berlin, Germany",,,8/22/2006,,,2018-10-21,,20070209 dahl,"VS 26, 112",,,,,,,,,,,,,171282,0,333885,,,150ppi 20160630,clay,VAT 09215,,tablet,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,"VS 26, 112",Kanesh (mod. Kültepe),,1992,"Eisser & Lewy, ARK 325",,,,,,,,,,no translation,,
,,,,21198/zz001zctfj,Old Assyrian Text Project,,"Veenhof, Klaas R. & Klengel-Brandt, E.",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,8/22/2006,,,2018-10-21,,20070209 dahl,"VS 26, 117",,,,,,,,,,,,,171283,0,333886,,,150ppi 20160630,clay,VAT 09216,,tablet,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,"VS 26, 117",Kanesh (mod. Kültepe),,1992,"Eisser & Lewy, ARK 281",,,,,,,,,,no translation,,
,088: Szarru-ken1.Assur-damiq.00.00 to Szarru-Ken1.Szu-Hubur.00.00,,,21198/zz001zctg2,Old Assyrian Text Project,,"Veenhof, Klaas R. & Klengel-Brandt, E.",,,"20091124 oatp: 19-26: J. Lewy, IEJ 5, 158A.18; 23-26 = I 489, 29-32; 25-26: Kienast, FAOSB 1, 85; 30-33: Larsen, OACC 195A.16; 44: Larsen, OACC 43A.65; rev. 20: followed by erasure",,"Vorderasiatisches Museum, Berlin, Germany",,,8/22/2006,Szarru-Ken1.Szu-Hubur.00.00,,2018-10-21,"088: Szarru-ken1.Assur-damiq.00.00, Szarru-Ken1.Szu-Hubur.00.00",20070209 dahl,"VS 26, 013",,,,,,,,,,,,,171284,0,333887,,,150ppi 20160630,clay,VAT 09218,,tablet,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,"VS 26, 013",Kanesh (mod. Kültepe),,1992,"Michel, LAPO 19, 115",,,,,,,,,,no translation,,
,,,,21198/zz001zcthk,Old Assyrian Text Project,,"Veenhof, Klaas R. & Klengel-Brandt, E.",,,20091124 oatp: obv. 2: NB: _ku3-babbar_ nach U.Lewy und KVA; VS yok; obv. 12: NB: KVA ma-na NA! _an-na_; obv. 14: NB: kopie u2-ma-qa2-at; rev. 8: 26. u3 a-szur3-na-da u3 me-er-i-szu,,"Vorderasiatisches Museum, Berlin, Germany",,,8/22/2006,,,2018-10-21,,20070209 dahl,"VS 26, 047",,,,,,,,,,,,,171285,0,333888,,,150ppi 20160630,clay,VAT 09219,,tablet,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,"VS 26, 047",Kanesh (mod. Kültepe),,1992,"Michel, LAPO 19, 107",,,,,,,,,,no translation,,
,,,,21198/zz001zctj3,Old Assyrian Text Project,,"Veenhof, Klaas R. & Klengel-Brandt, E.",,,20091124 oatp: obv. 5: followed by erasure; obv. 6: 7. _ku3-babbar_-ma na-di2-i _|SZU+LAGAB|_ 33 _ma-na_,,"Vorderasiatisches Museum, Berlin, Germany",,,8/22/2006,,,2018-10-21,,20070209 dahl,"VS 26, 074",,,,,,,,,,,,,171286,0,333889,,,150ppi 20160630,clay,VAT 09220,,tablet,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,"VS 26, 074",Kanesh (mod. Kültepe),,1992,,,,,,,,,,,no translation,,
,,,,21198/zz001zctkm,Old Assyrian Text Project,,"Veenhof, Klaas R. & Klengel-Brandt, E.",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,8/22/2006,,,2018-10-21,,20070209 dahl,"VS 26, 095",,,,,,,,,,,,,171287,0,333890,,,150ppi 20160630,clay,VAT 09221,,tablet & envelope,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,"VS 26, 095",Kanesh (mod. Kültepe),,1992,"Eisser & Lewy, ARK 090",,Sx,,,,,,,,no translation,,
,,,,21198/zz001zctm4,Old Assyrian Text Project,,"Veenhof, Klaas R. & Klengel-Brandt, E.",,,"20091124 oatp: 38-41: Landsberger, ArOr. 18/3, 336?; J. Lewy, ArOr. 18/3, 373; 40: Larsen, OACC 304A.46; 1: NB: Z. 1-2 in U.Lewy ohne fehlende zeichen!",,"Vorderasiatisches Museum, Berlin, Germany",,,8/22/2006,,,2018-10-21,,20070209 dahl,"VS 26, 056",,,,,,,,,,,,,171288,0,333891,,,150ppi 20160630,clay,VAT 09222,,tablet,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,"VS 26, 056",Kanesh (mod. Kültepe),,1992,"Michel, LAPO 19, 076",,,,,,,,,,no translation,,
,,,,21198/zz001zctnn,Old Assyrian Text Project,,"Veenhof, Klaas R. & Klengel-Brandt, E.",,,"20091124 oatp: obv. 14: NB: CAD M/2, 140b: sza-la2-t,im",,"Vorderasiatisches Museum, Berlin, Germany",,,8/22/2006,,,2018-10-21,,20070209 dahl,"VS 26, 001",,,,,,,,,Letter,,,,171289,0,333892,,Akkadian,150ppi 20160630,clay,VAT 09223,,tablet,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,"VS 26, 001",Kanesh (mod. Kültepe),,1992,"Larsen, OAA 1, 132",,,,,,,,,,no translation,,
,,,,21198/zz001zctp5,Old Assyrian Text Project,,"Veenhof, Klaas R. & Klengel-Brandt, E.",,,20091124 oatp: obv. 1: NB: VS 26 ohne zeilenlinierung,,"Vorderasiatisches Museum, Berlin, Germany",,,8/22/2006,,,2018-10-21,,20070209 dahl,"VS 26, 052",,,,,,,,,,,,,171290,0,333893,,,150ppi 20160630,clay,VAT 09224,,tablet,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,"VS 26, 052",Kanesh (mod. Kültepe),,1992,,,,,,,,,,,no translation,,
,,,,21198/zz001zctqp,Old Assyrian Text Project,,"Veenhof, Klaas R. & Klengel-Brandt, E.",,,"20091124 oatp: 7-11: H. Lewy, HUCA 17, 57A.248; 8-11: Larsen, OACC 350; 18-25: Veenhof, AOATT 258; rev. 7: followed by erasure",,"Vorderasiatisches Museum, Berlin, Germany",,,8/22/2006,079: Szarru-ken1.Aham-arsi.00.00,,2018-10-21,079: Szarru-ken1.Aham-arsi.00.00,20070209 dahl,"VS 26, 057",,,,,,,,,Letter,,,,171291,0,333894,,Akkadian,150ppi 20160630,clay,VAT 09225,,tablet,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,"VS 26, 057",Kanesh (mod. Kültepe),,1992,"Larsen, OAA 1, 110",,,,,,,,,,no translation,,
,,,,21198/zz001zctr6,Old Assyrian Text Project,,"Veenhof, Klaas R. & Klengel-Brandt, E.",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,8/22/2006,,,2018-10-21,,20070209 dahl,"VS 26, 003",,,,,,,,,,,,,171292,0,333895,,,150ppi 20160630,clay,VAT 09226,,tablet,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,"VS 26, 003",Kanesh (mod. Kültepe),,1992,,,,,,,,,,,no translation,,
,,,,21198/zz001zctsq,Old Assyrian Text Project,,"Veenhof, Klaas R. & Klengel-Brandt, E.",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,8/22/2006,,,2018-10-21,,20070209 dahl,"VS 26, 110",,,,,,,,,,,,,171293,0,333896,,,150ppi 20160630,clay,VAT 09228,,tablet & envelope,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,"VS 26, 110",Kanesh (mod. Kültepe),,1992,"Eisser & Lewy, ARK 243",,Sx,,,,,,,,no translation,,
,,,,21198/zz001zctt7,Old Assyrian Text Project,,"Veenhof, Klaas R. & Klengel-Brandt, E.",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,8/22/2006,,,2018-10-21,,20070209 dahl,"VS 26, 004",,,,,,,,,,,,,171294,0,333897,,,150ppi 20160630,clay,VAT 09229,,tablet,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,"VS 26, 004",Kanesh (mod. Kültepe),,1992,,,,,,,,,,,no translation,,
,,,,21198/zz001zctvr,Old Assyrian Text Project,,"Veenhof, Klaas R. & Klengel-Brandt, E.",,,20091124 oatp: obv. 12: NB: trenner nur in KVA,,"Vorderasiatisches Museum, Berlin, Germany",,,8/22/2006,,,2018-10-21,,20070209 dahl,"VS 26, 064",,,,,,,,,,,,,171295,0,333898,,,150ppi 20160630,clay,VAT 09230,,tablet,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,"VS 26, 064",Kanesh (mod. Kültepe),,1992,,,,,,,,,,,no translation,,
,,,,21198/zz001zctw8,Old Assyrian Text Project,,"Veenhof, Klaas R. & Klengel-Brandt, E.",,,"20091124 oatp: 21-23: KTH zu nr.14: 21; 31: Hirsch, UAR 75b; e. 2: li-qe2-a-nim a-na ku-lu-ma-a qi2-bi-ma; e. 2: NB: VS 26, 19: ku-ku",,"Vorderasiatisches Museum, Berlin, Germany",,,8/22/2006,,,2018-10-21,,20070209 dahl,"VS 26, 026",,,,,,,,,,,,,171296,0,333899,,,150ppi 20160630,clay,VAT 09231,,tablet,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,"VS 26, 026",Kanesh (mod. Kültepe),,1992,,,,,,,,,,,no translation,,
,,,,21198/zz001zctxs,Old Assyrian Text Project,,"Veenhof, Klaas R. & Klengel-Brandt, E.",,,"20091124 oatp: 18: Hecker, afO 31, 84a; rev. 4: followed by erasure; rev. 7: NB: fehler f. szummamin; rev. 10: followed by erasure; rev. 11: NB: 1(disz). zeichen DI2!; rev. 12: followed by erasure",,"Vorderasiatisches Museum, Berlin, Germany",,,8/22/2006,,,2018-10-21,,20070209 dahl,"VS 26, 029",,,,,,,,,Letter,,,,171297,0,333900,,Akkadian,150ppi 20160630,clay,VAT 09232,,tablet,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,"VS 26, 029",Kanesh (mod. Kültepe),,1992,"Larsen, OAA 1, 079; Michel, LAPO 19, 265",,,,,,,,,,no translation,,
,,,,21198/zz00210011,Old Assyrian Text Project,,"Veenhof, Klaas R. & Klengel-Brandt, E.",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,8/22/2006,,,2018-10-21,,20070209 dahl,"VS 26, 033",,,,,,,,,,,,,171298,0,333901,,,150ppi 20160630,clay,VAT 09233,,tablet,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,"VS 26, 033",Kanesh (mod. Kültepe),,1992,"Michel, LAPO 19, 355",,,,,,,,,,no translation,,
,,,,21198/zz0021002j,Old Assyrian Text Project,,"Veenhof, Klaas R. & Klengel-Brandt, E.",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,8/22/2006,,,2018-10-21,,20070209 dahl,"VS 26, 038",,,,,,,,,,,,,171299,0,333902,,,150ppi 20160630,clay,VAT 09234,,tablet,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,"VS 26, 038",Kanesh (mod. Kültepe),,1992,,,,,,,,,,,no translation,,
,,,,21198/zz00210032,Old Assyrian Text Project,,"Veenhof, Klaas R. & Klengel-Brandt, E.",,,20091124 oatp: rev. 4: NB: trenner fehlt in VS 26,,"Vorderasiatisches Museum, Berlin, Germany",,,8/22/2006,,,2018-10-21,,20070209 dahl,"VS 26, 018",,,,,,,,,,,,,171300,0,333903,,,150ppi 20160630,clay,VAT 09236,,tablet,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,"VS 26, 018",Kanesh (mod. Kültepe),,1992,,,,,,,,,,,no translation,,
,,,,21198/zz0021004k,Old Assyrian Text Project,,"Veenhof, Klaas R. & Klengel-Brandt, E.",,,20091124 oatp: rev. 5: NB: KVA szi2-im-ku-nu,,"Vorderasiatisches Museum, Berlin, Germany",,,8/22/2006,,,2018-10-21,,20070209 dahl,"VS 26, 040",,,,,,,,,,,,,171301,0,333904,,,150ppi 20160630,clay,VAT 09237,,tablet & envelope,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,"VS 26, 040",Kanesh (mod. Kültepe),,1992,,,Sx,,,,,,,,no translation,,
,,,167,21198/zz00210053,Old Assyrian Text Project,,"Veenhof, Klaas R. & Klengel-Brandt, E.",,,20091124 oatp: rev. 4: NB: EL hat ma-na-em!,,"Vorderasiatisches Museum, Berlin, Germany",,,8/22/2006,085: Szarru-ken1.Puzur-Nirah.07.00,,2018-10-21,085: Szarru-ken1.Puzur-Nirah.07.00,20060822 cdliadmin,"VS 26, 091",,,,,,,,,,,,,171302,0,333905,,,150ppi 20160630,clay,VAT 09238,,tablet & envelope,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,"VS 26, 091",Kanesh (mod. Kültepe),,1992,"Eisser & Lewy, ARK 063",,"SxA, SxB, S012201, SxD",,,,,,,,no translation,,
,,,,21198/zz0021006m,Old Assyrian Text Project,,"Veenhof, Klaas R. & Klengel-Brandt, E.",,,"20091124 oatp: 24-29: drs., AOATT 432; rev. 4: NB: KVA 5(disz) ma-na; rev. 6: followed by erasure",,"Vorderasiatisches Museum, Berlin, Germany",,,8/22/2006,,,2018-10-21,,20070209 dahl,"VS 26, 046",,,,,,,,,,,,,171303,0,333906,,,150ppi 20160630,clay,VAT 09239,,tablet,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,"VS 26, 046",Kanesh (mod. Kültepe),,1992,"Michel, LAPO 19, 139",,,,,,,,,,no translation,,
,,,,21198/zz00210074,Old Assyrian Text Project,,"Veenhof, Klaas R. & Klengel-Brandt, E.",,,20091124 oatp: rev. 8: followed by erasure; rev. 11: followed by erasure,,"Vorderasiatisches Museum, Berlin, Germany",,,8/22/2006,,,2018-10-21,,20070209 dahl,"VS 26, 144",,,,,,,,,,,,,171304,0,333907,,,150ppi 20160630,clay,VAT 09240,,tablet,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,"VS 26, 144",Kanesh (mod. Kültepe),,1992,,,,,,,,,,,no translation,,
,,,,21198/zz0021008n,Old Assyrian Text Project,,"Veenhof, Klaas R. & Klengel-Brandt, E.",,,"20091124 oatp: obv. 14: aszszur-ma-lik; rev. 1: Lewy,: etwa 8(disz) zz. abgebr.; rev. 13: Veenh.: I-di2-d[IM cp. KTS 1(u) 9(disz)b: 6(disz)]",,"Vorderasiatisches Museum, Berlin, Germany",,,8/22/2006,,,2018-10-21,,20070209 dahl,"VS 26, 036",,,,,,,,,,,,,171305,0,333908,,,150ppi 20160630,clay,VAT 09241,,tablet,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,"VS 26, 036",Kanesh (mod. Kültepe),,1992,,,,,,,,,,,no translation,,
,,,,21198/zz002100js,Old Assyrian Text Project,,"Veenhof, Klaas R. & Klengel-Brandt, E.",,,20091124 oatp: rev. 6: NB: U.Lewy 2(u) ma-na; rev. 15: NB: U.Lewy 5(u) ma-na,,"Vorderasiatisches Museum, Berlin, Germany",,,9/5/2006,,,2018-10-21,,20070209 dahl,"VS 26, 155",,,,,,,,,,,,,171313,0,333915,,,150ppi 20160630,clay,VAT 09210,,tablet,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,"VS 26, 155",Kanesh (mod. Kültepe),,1992,,,,,,,,,,,no translation,,
,,,,21198/zz002100k9,Old Assyrian Text Project,,"Veenhof, Klaas R. & Klengel-Brandt, E.",,,20091124 oatp: obv. 9': NB: U.Lewy: 2(disz) me-at,,"Vorderasiatisches Museum, Berlin, Germany",,,9/5/2006,,,2018-10-21,,20070209 dahl,"VS 26, 113",,,,,,,,,,,,,171314,0,333916,,,150ppi 20160630,clay,VAT 09242,,tablet,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,"VS 26, 113",Kanesh (mod. Kültepe),,1992,,,,,,,,,,,no translation,,
,,,,21198/zz0020z2mx,Old Assyrian Text Project,,"Veenhof, Klaas R. & Klengel-Brandt, E.",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,9/5/2006,,,2018-10-21,,20070209 dahl,"VS 26, 084",,,,,,,,,,,,,171315,0,333917,,,150ppi 20160630,clay,VAT 09243,,tablet,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,"VS 26, 084",Kanesh (mod. Kültepe),,1992,,,,,,,,,,,no translation,,
,,,,21198/zz001zpmg6,Old Assyrian Text Project,,"Veenhof, Klaas R. & Klengel-Brandt, E.",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,9/5/2006,,,2018-10-21,,20070209 dahl,"VS 26, 067",,,,,,,,,,,,,171316,0,333918,,,150ppi 20160630,clay,VAT 09244,,tablet,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,"VS 26, 067",Kanesh (mod. Kültepe),,1992,"Michel, Innaya 078",,,,,,,,,,no translation,,
,,,,21198/zz001zpmhq,Old Assyrian Text Project,,"Veenhof, Klaas R. & Klengel-Brandt, E.",,,20091124 oatp: obv. 5: followed by erasure,,"Vorderasiatisches Museum, Berlin, Germany",,,9/5/2006,,,2018-10-21,,20070209 dahl,"VS 26, 133",,,,,,,,,,,,,171317,0,333919,,,150ppi 20160630,clay,VAT 09245,,tablet,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,"VS 26, 133",Kanesh (mod. Kültepe),,1992,,,,,,,,,,,no translation,,
,,,,21198/zz001zpmj7,Old Assyrian Text Project,,"Veenhof, Klaas R. & Klengel-Brandt, E.",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,9/5/2006,,,2018-10-21,,20070209 dahl,"VS 26, 049",,,,,,,,,,,,,171318,0,333920,,,150ppi 20160630,clay,VAT 09247,,tablet,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,"VS 26, 049",Kanesh (mod. Kültepe),,1992,,,,,,,,,,,no translation,,
,,,,21198/zz001zpmkr,Old Assyrian Text Project,,"Veenhof, Klaas R. & Klengel-Brandt, E.",,,20091124 oatp: rev. 5: followed by erasure,,"Vorderasiatisches Museum, Berlin, Germany",,,9/5/2006,,,2018-10-21,,20070209 dahl,"VS 26, 107",,,,,,,,,,,,,171319,0,333921,,,150ppi 20160630,clay,VAT 09248,,tablet,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,"VS 26, 107",Kanesh (mod. Kültepe),,1992,"Eisser & Lewy, ARK 295",,,,,,,,,,no translation,,
,,,,21198/zz001zpmm8,Old Assyrian Text Project,,"Veenhof, Klaas R. & Klengel-Brandt, E.",,,"20091124 oatp: 9-13: Veenhof, figurative language 56; rev. 15: pf. dl; rev. 16: mr+szu ?; e. 1: koll.! sfs.",,"Vorderasiatisches Museum, Berlin, Germany",,,9/5/2006,,,2018-10-21,,20070209 dahl,"VS 26, 017",,,,,,,,,,,,,171320,0,333922,,,150ppi 20160630,clay,VAT 09249,,tablet,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,"VS 26, 017",Kanesh (mod. Kültepe),,1992,"Michel, LAPO 19, 110",,,,,,,,,,no translation,,
,,,,21198/zz001zpmns,Old Assyrian Text Project,,"Veenhof, Klaas R. & Klengel-Brandt, E.",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,9/5/2006,,,2018-10-21,,20070209 dahl,"VS 26, 108",,,,,,,,,,,,,171321,0,333923,,,150ppi 20160630,clay,VAT 09250,,tablet,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,"VS 26, 108",Kanesh (mod. Kültepe),,1992,"Eisser & Lewy, ARK 257",,,,,,,,,,no translation,,
,,,,21198/zz001zpmp9,Old Assyrian Text Project,,"Veenhof, Klaas R. & Klengel-Brandt, E.",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,9/5/2006,,,2018-10-21,,20070209 dahl,"VS 26, 008",,,,,,,,,,,,,171322,0,333924,,,150ppi 20160630,clay,VAT 09251,,tablet,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,"VS 26, 008",Kanesh (mod. Kültepe),,1992,,,,,,,,,,,no translation,,
,,,,21198/zz001zpmqt,Old Assyrian Text Project,,"Veenhof, Klaas R. & Klengel-Brandt, E.",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,9/5/2006,,,2018-10-21,,20070209 dahl,"VS 26, 077",,,,,,,,,,,,,171323,0,333925,,,150ppi 20160630,clay,VAT 09252,,tablet,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,"VS 26, 077",Kanesh (mod. Kültepe),,1992,,,,,,,,,,,no translation,,
,,,,21198/zz001zpmrb,Old Assyrian Text Project,,"Veenhof, Klaas R. & Klengel-Brandt, E.",,,20091124 oatp: rev. 2: NB 16ff. in einzelheiten unsicher!,,"Vorderasiatisches Museum, Berlin, Germany",,,9/5/2006,,,2018-10-21,,20070209 dahl,"VS 26, 034",,,,,,,,,,,,,171324,0,333926,,,150ppi 20160630,clay,VAT 09253,,tablet,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,"VS 26, 034",Kanesh (mod. Kültepe),,1992,"Michel, LAPO 19, 231",,,,,,,,,,no translation,,
,,,,21198/zz001zpmsv,Old Assyrian Text Project,,"Veenhof, Klaas R. & Klengel-Brandt, E.",,,20091124 oatp: obv. 8: NB: worttrenner in KVA nicht in VS 26,,"Vorderasiatisches Museum, Berlin, Germany",,,9/5/2006,,,2018-10-21,,20070209 dahl,"VS 26, 030",,,,,,,,,,,,,171325,0,333927,,,150ppi 20160630,clay,VAT 09254,,tablet,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,"VS 26, 030",Kanesh (mod. Kültepe),,1992,,,,,,,,,,,no translation,,
,,,,21198/zz001zpmtc,Old Assyrian Text Project,,"Veenhof, Klaas R. & Klengel-Brandt, E.",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,9/5/2006,,,2018-10-21,,20070209 dahl,"VS 26, 006",,,,,,,,,,,,,171326,0,333928,,,150ppi 20160630,clay,VAT 09255,,tablet,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,"VS 26, 006",Kanesh (mod. Kültepe),,1992,"Dercksen, OACT p. 205",,,,,,,,,,no translation,,
,,,,21198/zz001zpmvw,Old Assyrian Text Project,,"Veenhof, Klaas R. & Klengel-Brandt, E.",,,"20091124 oatp: 2: H. Lewy, RSO 39, 19; VS 26, 29; Ulshoefer, FAOSB 4, 149; rev. 3: VS 26: _kiszib3_ku-nu-kum ki-ni-ni",,"Vorderasiatisches Museum, Berlin, Germany",,,9/5/2006,,,2018-10-21,,20070209 dahl,"VS 26, 149",,,,,,,,,,,,,171327,0,333929,,,150ppi 20160630,clay,VAT 09256,,tablet,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,"VS 26, 149",Kanesh (mod. Kültepe),,1992,,,,,,,,,,,no translation,,
,,,,21198/zz001zpmwd,Old Assyrian Text Project,,"Veenhof, Klaas R. & Klengel-Brandt, E.",,,20091124 oatp: obv. 14': followed by erasure,,"Vorderasiatisches Museum, Berlin, Germany",,,9/5/2006,,,2018-10-21,,20070209 dahl,"VS 26, 132",,,,,,,,,,,,,171328,0,333930,,,150ppi 20160630,clay,VAT 09257,,tablet,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,"VS 26, 132",Kanesh (mod. Kültepe),,1992,,,,,,,,,,,no translation,,
,,,,21198/zz001zpmxx,Old Assyrian Text Project,,"Veenhof, Klaas R. & Klengel-Brandt, E.",,,20091124 oatp: rev. 11: NB: kopie _ku-hi_.A,,"Vorderasiatisches Museum, Berlin, Germany",,,9/5/2006,,,2018-10-21,,20070209 dahl,"VS 26, 054",,,,,,,,,,,,,171329,0,333931,,,150ppi 20160630,clay,VAT 09258,,tablet,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,"VS 26, 054",Kanesh (mod. Kültepe),,1992,,,,,,,,,,,no translation,,
,,,,21198/zz001zpmzf,Old Assyrian Text Project,,"Veenhof, Klaas R. & Klengel-Brandt, E.",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,9/5/2006,,,2018-10-21,,20070209 dahl,"VS 26, 141",,,,,,,,,,,,,171330,0,333932,,,150ppi 20160630,clay,VAT 09259,,tablet,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,"VS 26, 141",Kanesh (mod. Kültepe),,1992,,,,,,,,,,,no translation,,
,,,,21198/zz001zpn0f,Old Assyrian Text Project,,"Veenhof, Klaas R. & Klengel-Brandt, E.",,,"20091124 oatp: 3: Harrak, ZA 81, 147f.; Nashef, WO 19, 36",,"Vorderasiatisches Museum, Berlin, Germany",,,9/5/2006,,,2018-10-21,,20070209 dahl,"VS 26, 148",,,,,,,,,,,,,171331,0,333933,,,150ppi 20160630,clay,VAT 09260,,tablet,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,"VS 26, 148",Kanesh (mod. Kültepe),,1992,,,,,,,,,,,no translation,,
,,,,21198/zz001zpn1z,Old Assyrian Text Project,,"Veenhof, Klaas R. & Klengel-Brandt, E.",,,"20091124 oatp: 9'-11': H. Lewy, JAOS 76, 203; obv. 2: 13': Larsen, OACC 174A.45; obv. 5': NB: zeichen -NI-",,"Vorderasiatisches Museum, Berlin, Germany",,,9/5/2006,,,2018-10-21,,20070209 dahl,"VS 26, 118",,,,,,,,,,,,,171332,0,333934,,,150ppi 20160630,clay,VAT 09261,,tablet,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,"VS 26, 118",Kanesh (mod. Kültepe),,1992,,,,,,,,,,,no translation,,
